latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
28.7203,4424.0391,25.6386,26.5425,29.1679,34.28426455,18172.998,0
29.1333,4453.1724,26.2163,26.7637,29.2286,34.21306529,18202.2266,29.2286
29.9677,4483.1401,26.2124,26.7896,29.9922,33.34200225,18232.2188,59.2208
28.9478,4512.0879,26.0308,26.7983,28.9179,34.58065765,18261.1367,88.1387
29.3359,4541.4238,26.4258,26.9073,28.9375,34.55723542,18290.0742,117.0762
30.0108,4571.4346,26.1211,26.9683,30.3457,32.95359804,18320.4199,147.4219
28.9609,4600.3955,26.2861,26.7759,29.3438,34.07874917,18349.7637,176.7657
29.1387,4629.5342,26.2276,26.8442,29.2402,34.19949248,18379.0039,206.0059
29.6147,4659.1489,26.1177,26.6226,30.0703,33.25540483,18409.0742,236.0762
28.6382,4687.7871,25.9633,26.5274,29.5176,33.87809307,18438.5918,265.5938
28.9346,4716.7217,26.3086,26.7222,28.8633,34.64607304,18467.4551,294.4571
29.9385,4746.6602,26.3447,26.8389,29.6953,33.67536277,18497.1504,324.1524
28.9082,4775.5684,26.0088,26.7578,29.1758,34.27498132,18526.3262,353.3282
28.664,4804.2324,26.3027,26.4063,29.5761,33.81108395,18555.9023,382.9043
30.2593,4834.4917,26.2359,26.8994,29.8594,33.49029116,18585.7617,412.7637
29.1655,4863.6572,26.3296,26.9614,28.7637,34.76604192,18614.5254,441.5274
28.6695,4892.3267,26.0068,26.4571,29.125,34.33476395,18643.6504,470.6524
29.7504,4922.0771,26.0903,26.6884,29.8437,33.50790954,18673.4941,500.4961
29.3184,4951.3955,26.0058,27.0961,29.1211,34.33936218,18702.6152,529.6172
29.0879,4980.4834,26.2656,26.7408,29.3047,34.12421898,18731.9199,558.9219
30.1484,5010.6318,25.8174,26.874,30.5293,32.75541857,18762.4492,589.4512
28.9859,5039.6177,26.168,26.7051,29.1758,34.27498132,18791.625,618.627
28.8735,5068.4912,26.3091,26.6778,29.1465,34.30943681,18820.7715,647.7735
29.9888,5098.48,26.1201,26.81,29.9883,33.34633841,18850.7598,677.7618
28.8174,5127.2974,26.1558,26.7236,28.832,34.68368479,18879.5918,706.5938
29.061,5156.3584,25.9429,26.6342,29.7187,33.64884736,18909.3105,736.3125
30.2051,5186.5635,26.02,26.707,30.5918,32.68849823,18939.9023,766.9043
29.0034,5215.5669,26.0273,26.727,29.0313,34.44558115,18968.9336,795.9356
29.1841,5244.751,25.9927,26.7974,28.9238,34.57360375,18997.8574,824.8594
29.8403,5274.5913,25.9526,26.7232,30.5703,32.71148795,19028.4277,855.4297
