latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel,,,,
28.7275,5257.8369,25.6992,26.5844,30.0732,33.25219797,14722.3457,0,,,,
29.1699,5287.0068,25.6171,26.7153,28.9736,34.51417842,14751.3193,28.9736,,,,
30.0957,5317.1025,25.8569,26.8677,29.169,34.28297165,14780.4883,58.1426,,,,
28.9429,5346.0454,26.0996,26.6748,30.1494,33.16815592,14810.6377,88.292,,,,
29.4815,5375.5269,26.0552,26.8741,29.0498,34.42364491,14839.6875,117.3418,,,,
30.6411,5406.168,25.9776,27.1231,29.3008,34.12876099,14868.9883,146.6426,,,,
29.2705,5435.4385,26.0845,27.0078,30.1084,33.21332253,14899.0967,176.751,,,,
28.9731,5464.4116,26.2969,26.7178,28.8525,34.65904168,14927.9492,205.6035,,,,
29.8194,5494.231,26.1577,26.7944,29.1065,34.35658702,14957.0557,234.71,,,,
29.1377,5523.3687,26.0498,26.6821,30.2461,33.06211379,14987.3018,264.9561,,,,
29.392,5552.7607,26.311,26.8525,28.9453,34.54792315,15016.2471,293.9014,,,,
29.5865,5582.3472,25.9136,26.5796,28.999,34.48394772,15045.2461,322.9004,,,,
28.9238,5611.271,26.0527,26.6948,29.7275,33.63888655,15074.9736,352.6279,,,,
28.9551,5640.2261,26.2915,26.6841,28.6836,34.86312736,15103.6572,381.3115,,,,
29.8847,5670.1108,25.9561,26.8652,28.7842,34.74128168,15132.4414,410.0957,,,,
28.9507,5699.0615,26.0634,26.7124,30.2949,33.00885628,15162.7363,440.3906,,,,
29.2119,5728.2734,25.9483,26.6216,29.3418,34.08107205,15192.0781,469.7324,,,,
29.7056,5757.979,25.8374,26.7842,29.5108,33.8858994,15221.5889,499.2432,,,,
28.9761,5786.9551,25.9546,26.9195,29.9345,33.40627036,15251.5234,529.1777,,,,
28.9414,5815.8965,26.0996,26.8261,28.8819,34.6237609,15280.4053,558.0596,,,,
29.7734,5845.6699,26.0972,26.8667,28.9121,34.58759481,15309.3174,586.9717,,,,
28.689,5874.3589,26.3472,26.521,29.9726,33.36380561,15339.29,616.9443,,,,
29.2241,5903.583,26.2168,26.8789,29.0655,34.40505066,15368.3555,646.0098,,,,
29.5747,5933.1577,26.1431,26.7124,29.373,34.04487114,15397.7285,675.3828,,,,
28.8032,5961.9609,26.293,26.7934,29.7861,33.57270673,15427.5146,705.1689,,,,
28.8296,5990.7905,25.8155,26.7026,28.8956,34.60734506,15456.4102,734.0645,,,,
29.5288,6020.3193,26.1621,26.7027,29.0859,34.38091996,15485.4961,763.1504,,,,
28.8745,6049.1938,26.3149,26.7783,29.3213,34.10489985,15514.8174,792.4717,,,,
29.0738,6078.2676,26.0962,26.7168,29.2861,34.14589174,15544.1035,821.7578,,,,
29.6108,6107.8784,26.0855,26.7871,29.4336,33.97477713,15573.5371,851.1914,,,,
28.6182,6136.4966,26.3662,26.5239,29.7988,33.55839832,15603.3359,880.9902,,,,
28.9614,6165.458,25.981,26.8481,28.8575,34.65303647,15632.1934,909.8477,,,,
29.5635,6195.0215,26.3853,26.7393,29.0175,34.46196261,15661.2109,938.8652,,,,
28.8227,6223.8442,26.1685,26.6733,29.9991,33.33433336,15691.21,968.8643,,,,
