latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.709,7405.2349,13.8028,12.5049,12.9043,14.2422,17.6933,17429.2871,56.51856918,0,,,,
16.852,7422.0869,13.3702,12.5572,13.0649,14.1582,18.4746,17447.7617,54.12837084,18.4746,,,,
16.8262,7438.9131,13.7266,12.5513,12.9825,14.1313,17.1074,17464.8691,58.45423618,35.582,,,,
16.6592,7455.5723,14.0346,12.4893,13.2095,14.0747,16.6387,17481.5078,60.10084923,52.2207,,,,
16.6665,7472.2388,13.8027,12.4795,13.1807,14.1777,16.7149,17498.2227,59.82686106,68.9356,,,,
17.7451,7489.9839,14.0229,12.5162,13.0776,14.0737,17.5664,17515.7891,56.92686037,86.502,,,,
16.4765,7506.4604,13.3359,12.4888,13.1182,14.0034,16.7441,17532.5332,59.72252913,103.2461,,,,
16.4751,7522.9355,13.4673,12.5176,12.9106,13.9629,17.6055,17550.1387,56.80043168,120.8516,,,,
16.4712,7539.4067,13.4585,12.6635,13.1367,14.0078,16.9961,17567.1348,58.83702732,137.8477,,,,
16.7979,7556.2046,14.707,12.9028,13.0317,14.186,16.5722,17583.707,60.34201856,154.4199,,,,
16.7642,7572.9688,13.4385,12.6284,13.1064,14.3145,16.4492,17600.1562,60.79323007,170.8691,,,,
17.1552,7590.124,13.9819,12.6855,12.8252,13.9228,18.9063,17619.0625,52.8924221,189.7754,,,,
16.4072,7606.5312,13.4033,12.8896,12.918,14.0996,16.373,17635.4355,61.07616197,206.1484,,,,
16.4156,7622.9468,13.4102,12.5015,13.104,13.9883,16.3125,17651.748,61.30268199,222.4609,,,,
16.5381,7639.4849,13.356,12.5405,13.2949,14.1704,16.9336,17668.6816,59.05418812,239.3945,,,,
16.5688,7656.0537,13.2661,12.4502,12.9702,14.0577,16.8731,17685.5547,59.26593216,256.2676,,,,
16.6538,7672.7075,13.2232,12.5014,12.935,14.125,16.7422,17702.2969,59.72930678,273.0098,,,,
