latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.707,6155.6748,13.3999,12.5469,12.9878,14.2392,,,,,,,,
16.5606,6172.2354,13.5381,12.5245,13.0366,14.0411,,,,,,,,
16.6357,6188.8711,13.7032,12.523,12.8496,14.0444,,,,,,,,
16.6465,6205.5176,13.3969,12.5894,12.8657,14.0914,,,,,,,,
16.6518,6222.1694,14.1894,12.8247,12.8536,14.0908,,,,,,,,
17.251,6239.4204,13.7803,12.687,13.0239,14.0561,,,,,,,,
16.4404,6255.8608,13.562,12.7866,13.0117,13.9419,,,,,,,,
16.7788,6272.6396,13.3877,12.6822,13.2896,14.1577,,,,,,,,
16.8184,6289.458,13.4956,12.7295,12.9658,14.1055,,,,,,,,
16.7456,6306.2036,13.7675,12.4951,13.0513,14.0757,,,,,,,,
16.7485,6322.9521,13.4897,12.6494,13.0684,14.1601,,,,,,,,
17.5625,6340.5146,13.7427,12.4844,13.1197,14.2597,,,,,,,,
16.6031,6357.1177,13.8848,12.5039,12.9888,14.2627,,,,,,,,
17.1933,6374.311,13.2925,12.4893,13.0181,14.2539,,,,,,,,
16.7017,6391.0127,13.5649,12.4942,13.0488,14.2231,,,,,,,,
16.8247,6407.8374,14.332,12.4746,13.0586,14.0122,,,,,,,,
17.3687,6425.2061,13.9502,12.4868,13.1367,14.0811,,,,,,,,
17.3491,6442.5552,13.5264,12.517,12.9795,13.9814,,,,,,,,
16.7534,6459.3086,13.8272,12.5435,12.8657,14.0361,,,,,,,,
17.2456,6476.5542,13.6709,12.666,12.8501,14.085,,,,,,,,
16.7373,6493.2915,13.3101,12.4365,13.0322,14.1709,,,,,,,,
16.4971,6509.7886,14.4292,12.5689,12.9009,13.9863,,,,,,,,
16.6089,6526.3975,13.8818,12.6607,13.0068,14.1269,,,,,,,,
17.3779,6543.7754,13.6089,12.5434,12.9004,14.0176,,,,,,,,
16.626,6560.4014,13.5782,12.5581,12.9526,14.2436,,,,,,,,
16.8452,6577.2466,13.7231,12.5162,13.0278,14.1645,,,,,,,,
16.581,6593.8276,13.7709,12.4537,13.1704,14.1328,,,,,,,,
17.1299,6610.9575,13.3355,12.456,12.9903,14.1006,,,,,,,,
16.482,6627.4395,13.5576,12.5386,13.0474,14.0371,,,,,,,,
17.2133,6644.6528,13.9868,12.4741,13.0005,14.0068,16.2216,14773.9062,61.64620013,0,,,,
16.501,6661.1538,13.6704,12.562,13.0884,14.0898,16.5079,14790.4141,60.57705705,16.5079,,,,
16.5591,6677.7129,13.3203,12.5722,12.9335,14.1172,16.4892,14806.9033,60.64575601,32.9971,,,,
16.6636,6694.3765,14.0972,12.5337,13,14.0952,16.4102,14823.3135,60.93770947,49.4073,,,,
16.4428,6710.8193,13.6958,12.5952,12.831,13.9673,16.6201,14839.9336,60.1681097,66.0274,,,,
16.4912,6727.3105,13.7055,12.5903,13.1709,14.019,17.2978,14857.2314,57.81081987,83.3252,,,,
17.3501,6744.6606,13.3306,12.5328,13.0166,14.2022,16.5235,14873.7549,60.51986565,99.8487,,,,
16.5332,6761.1938,13.3877,12.5537,12.9174,14.0195,16.3672,14890.1221,61.09780537,116.2159,,,,
16.732,6777.9258,13.3828,12.8374,13.106,14.0938,16.3916,14906.5137,61.00685717,132.6075,,,,
16.5615,6794.4873,13.6699,12.9771,12.9878,14.0664,16.8369,14923.3506,59.39335626,149.4444,,,,
16.499,6810.9863,13.4043,12.5,12.9966,14.0087,16.7851,14940.1357,59.57664834,166.2295,,,,
16.7168,6827.7031,13.4331,12.5044,12.9771,14.1558,17.3545,14957.4902,57.62194244,183.584,,,,
18.0044,6845.7075,13.3301,12.5025,12.7758,13.9848,16.7539,14974.2441,59.68759513,200.3379,,,,
16.4942,6862.2017,13.3907,12.4287,12.7857,14.0191,16.6289,14990.873,60.13626879,216.9668,,,,
16.5141,6878.7158,13.7168,12.5576,13.0942,14.0225,16.7491,15007.6221,59.70470055,233.7159,,,,
16.6763,6895.3921,13.4922,12.5889,12.9145,13.9595,16.5459,15024.168,60.43793326,250.2618,,,,
16.416,6911.8081,13.6914,12.5336,12.813,13.9527,16.4765,15040.6445,60.69250144,266.7383,,,,
16.9551,6928.7632,13.5727,12.5381,12.9507,14.4038,17.2647,15057.9092,57.92165517,284.003,,,,
17.0449,6945.8081,13.6929,12.5225,12.9658,13.8681,16.4248,15074.334,60.88354196,300.4278,,,,
16.4937,6962.3018,14.0567,12.478,12.8457,14.1089,16.416,15090.75,60.91617934,316.8438,,,,
16.6997,6979.0015,13.4526,12.4829,12.937,14.1538,16.6006,15107.3506,60.23878655,333.4444,,,,
16.749,6995.7505,13.6685,12.48,13.1274,14.1348,16.6914,15124.042,59.91109194,350.1358,,,,
16.5386,7012.2891,13.8789,12.5254,12.9287,13.9214,16.5322,15140.5742,60.48801732,366.668,,,,
16.5571,7028.8462,13.3003,12.5132,12.9814,14.0801,17.0762,15157.6504,58.56103817,383.7442,,,,
17.4844,7046.3306,13.7412,12.5049,12.9277,14.0156,16.2158,15173.8662,61.66824949,399.96,,,,
16.8095,7063.1401,13.4331,12.6235,12.9707,14.3862,16.5225,15190.3887,60.52352852,416.4825,,,,
17.337,7080.4771,14.1699,12.5034,12.9179,14.0737,16.4209,15206.8096,60.89800194,432.9034,,,,
16.8222,7097.2993,13.2944,12.4585,13.2285,14.0268,16.4121,15223.2217,60.93065482,449.3155,,,,
16.5488,7113.8481,13.8135,12.4541,13.0313,14.0615,16.289,15239.5107,61.39112284,465.6045,,,,
16.5342,7130.3823,14.2148,12.4585,12.9136,14.0835,17.2217,15256.7324,58.06627685,482.8262,,,,
17.2593,7147.6416,13.5811,12.5127,12.7944,14.0791,16.9688,15273.7012,58.93168639,499.795,,,,
16.4971,7164.1387,13.3228,12.543,13.0264,13.9487,16.4121,15290.1133,60.93065482,516.2071,,,,
16.873,7181.0117,13.3409,12.5747,12.8926,14.023,16.4863,15306.5996,60.65642382,532.6934,,,,
16.9478,7197.9595,13.731,12.5552,12.8296,14.0107,16.5479,15323.1475,60.43062866,549.2413,,,,
16.872,7214.8315,13.5703,12.4785,12.8667,13.9892,17.0048,15340.1523,58.8069251,566.2461,,,,
16.7623,7231.5938,13.8452,12.5469,12.8296,14.271,17.3165,15357.4688,57.74839026,583.5626,,,,
17.5883,7249.1821,13.3277,12.58,12.8896,13.9429,16.2285,15373.6973,61.61998952,599.7911,,,,
16.3062,7265.4883,13.5015,12.5059,13.0073,13.9682,16.3818,15390.0791,61.04335299,616.1729,,,,
16.5166,7282.0049,13.4067,12.5195,12.8628,14.0034,16.3057,15406.3848,61.32824718,632.4786,,,,
16.6328,7298.6377,13.5332,12.5137,12.8564,14.1724,16.6982,15423.083,59.88669437,649.1768,,,,
16.436,7315.0737,14.1875,12.5098,12.897,13.9771,16.5147,15439.5977,60.55211418,665.6915,,,,
16.7217,7331.7954,13.333,12.5698,12.9541,14.1059,17.4521,15457.0498,57.29969459,683.1436,,,,
17.3472,7349.1426,13.4776,12.7583,12.8741,13.9472,16.7285,15473.7783,59.77822279,699.8721,,,,
16.521,7365.6636,13.416,12.5288,12.977,14.0034,16.7637,15490.542,59.65270197,716.6358,,,,
16.6689,7382.3325,13.4766,12.4966,13.1157,14.0703,16.3545,15506.8965,61.14525054,732.9903,,,,
16.9756,7399.3081,13.9922,12.5322,12.771,14.4629,16.2539,15523.1504,61.52369585,749.2442,,,,
16.4888,7415.7969,13.7437,12.521,12.835,14.003,16.3857,15539.5361,61.02882391,765.6299,,,,
16.5722,7432.3691,13.5952,12.6416,12.9048,14.062,17.1514,15556.6875,58.30427837,782.7813,,,,
17.3741,7449.7432,13.6421,12.5557,12.9551,14.1108,16.2861,15572.9736,61.40205451,799.0674,,,,
16.5302,7466.2734,13.768,12.4951,13.0048,14.1025,16.3711,15589.3447,61.08325036,815.4385,,,,
16.4146,7482.688,13.7734,12.4634,12.9751,13.9829,16.2998,15605.6445,61.35044602,831.7383,,,,
16.5327,7499.2207,13.3643,12.5225,13.0527,13.9092,16.3467,15621.9912,61.17442664,848.085,,,,
16.5747,7515.7954,13.8868,12.4976,12.8149,13.9775,16.3731,15638.3643,61.07578895,864.4581,,,,
16.4321,7532.2275,13.8676,12.6631,12.9629,13.8833,17.5693,15655.9336,56.91746399,882.0274,,,,
19.0069,7551.2344,13.5693,12.4833,12.9385,14.0288,16.5615,15672.4951,60.38100414,898.5889,,,,
16.3974,7567.6318,13.2959,12.498,12.9394,13.9878,16.3545,15688.8496,61.14525054,914.9434,,,,
16.3692,7584.001,13.9599,12.7549,13.0161,13.8842,16.7129,15705.5625,59.83402043,931.6563,,,,
16.8545,7600.8555,13.3149,12.5117,12.7437,14.3086,16.3896,15721.9521,61.01430175,948.0459,,,,
16.477,7617.3325,13.6035,12.5386,12.9526,14.0161,16.5342,15738.4863,60.48070061,964.5801,,,,
