method_name,gpu_num,remote,preprocess,render,copy,present,total,FPS,speedup
benchmark,1,0.189632731,1.334058356,0.026961425,0.001232493,58.04558453,59.59746954,16.83279604,0.976794488
multithread,1,0.186278594,1.354661222,0.027042509,0.002212573,57.95927396,59.52946886,16.85113314,0.977858576
gVulkan,1,0.178600552,1.21157346,53.259551,0,0.156578998,54.80630401,18.29144813,1.061438971
benchmark,2,0.241215195,1.40649578,26.42154304,0.647687836,5.709744684,34.42668654,29.25219284,1.697482739
multithread,2,0.202481937,0.94578594,26.48645496,0.151559884,5.273235976,33.0595187,30.43488088,1.766113236
gVulkan,2,0.195193579,1.155970933,26.76630558,0.273563723,0.168162357,28.55919617,35.25595503,2.045876541
benchmark,4,0.254802008,1.459237812,13.9291452,0.961702605,5.352711011,21.95759863,46.07701105,2.673814279
multithread,4,0.249327685,1.500515606,14.02915529,0.321834589,5.586831791,21.68766496,46.64540851,2.706797956
gVulkan,4,0.239609747,1.476182659,14.12389577,0.486262749,0.178022751,16.50397367,61.48411364,3.567876849
local_oneGPU,1,0,0.409556792,52.83028507,0,4.789405657,58.02924752,17.23268942,1
