method_name,gpu_num,remote,preprocess,render,copy,present,total,fps,speedup,not present,seedup
benchmark,1,0.189632731,1.332349865,0.026940977,0.00122778,58.04097108,59.59112243,16.83459464,0.976835849,,
multithread,1,0.186278594,1.352373377,0.027032647,0.00221473,57.95546546,59.52336481,16.85286663,0.97789609,,
gVulkan,1,0.178600552,1.210690678,53.25594845,0,0.156801842,54.84484624,18.30715865,1.061450332,54.46663913,0.977395718
benchmark,2,0.241215195,1.405723537,26.42049177,0.647687974,5.709064209,34.42418268,29.25433552,0.848748791,28.47390328,0.934811419
multithread,2,0.202481937,0.946538788,26.48627021,0.151629102,5.273742582,33.06066262,30.43382133,0.88296892,27.5844381,0.964954582
gVulkan,2,0.195193579,1.15536464,26.76551144,0.273547349,0.168130243,28.55774725,35.25775611,1.022924545,28.19442343,0.944077825
benchmark,4,0.254802008,1.458435669,13.92914322,0.96174696,5.352399382,21.95652724,46.07928583,0.668443453,16.34932585,0.814031422
multithread,4,0.249327685,1.499669803,14.02897205,0.321734437,5.586199349,21.68590332,46.64924178,0.676711449,15.85037629,0.839656089
gVulkan,4,0.239609747,1.475623517,14.12398047,0.486303174,0.178017207,16.50353411,61.48577535,0.891935786,16.08590716,0.827361792
local_oneGPU,1,0,0.409302401,52.82615747,0,4.790044754,58.02550463,17.23380101,1,53.23545987,1
