latency,time,GPU1,GPU2
27.5757,6853.1089,25.1396,26.4009
28.0742,6881.1831,24.9834,26.4156
28.0576,6909.2407,25.018,26.3906
28.3057,6937.5464,25.0464,26.5816
28.3833,6965.9297,25.0733,26.5752
28.3789,6994.3086,25.0244,26.6118
28.2031,7022.5117,25.0386,26.4922
27.8887,7050.4004,25.0801,26.1197
28.1958,7078.5962,25.0176,26.2617
27.9541,7106.5503,25.0117,26.1826
27.9248,7134.4751,25.0317,26.2002
28.1006,7162.5757,25.0669,26.1997
27.9443,7190.52,25.0361,26.2007
27.918,7218.438,25.0151,26.2304
27.8603,7246.2983,25.0166,26.1128
28.7759,7275.0742,25.0728,26.315
27.9229,7302.9971,24.9751,26.1455
27.9218,7330.9189,24.9961,26.252
28.6031,7359.522,24.9814,26.8726
28.8218,7388.3438,25.0171,26.8847
28.5629,7416.9067,25.0283,26.729
27.8594,7444.7661,25.479,26.0322
28.0767,7472.8428,25.6577,26.1236
27.748,7500.5908,25.4732,25.9873
27.6084,7528.1992,25.5435,25.6748
27.3701,7555.5693,25.4526,25.624
28.0342,7583.6035,25.4785,26.2564
28.0772,7611.6807,25.4585,26.1455
27.6884,7639.3691,25.4512,25.9575
27.7046,7667.0737,25.5078,25.9311
27.6929,7694.7666,25.5527,25.8491
29.1899,7723.9565,25.4195,25.7529
27.71,7751.6665,25.4913,25.4423
27.0986,7778.7651,25.4541,25.3565
27.0577,7805.8228,25.5249,25.3184
28.1513,7833.9741,26.4887,25.3984
27.1914,7861.1655,25.5068,25.3965
27.1343,7888.2998,25.4467,25.3213
27.0259,7915.3257,25.4287,25.3525
26.9834,7942.3091,25.4941,25.3267
28.4892,7970.7983,25.4507,25.2603
27.1558,7997.9541,25.5347,25.2706
27.603,8025.5571,25.7949,24.7939
27.3824,8052.9395,25.9615,24.706
27.3364,8080.2759,25.9209,24.772
28.6401,8108.916,26.0034,24.7983
27.3994,8136.3154,25.9659,24.7324
27.3496,8163.665,25.8662,24.6978
27.7515,8191.4165,26.3725,24.7056
27.7524,8219.1689,26.376,24.7705
28.1612,8247.3301,26.3877,24.7666
27.5888,8274.9189,26.1953,24.7353
27.7159,8302.6348,26.211,24.7471
27.4238,8330.0586,26.0498,24.7246
27.4531,8357.5117,26.0879,24.7314
27.4492,8384.9609,26.0342,24.7451
27.3457,8412.3066,25.9454,24.71
27.8379,8440.1445,26.378,24.7685
27.6397,8467.7842,26.2588,24.6885
27.8437,8495.6279,26.4824,24.7295
27.4942,8523.1221,26.0938,24.7061
27.5273,8550.6494,26.1172,24.7519
27.5254,8578.1748,26.0498,24.7236
27.4766,8605.6514,26.0137,24.749
26.8437,8632.4951,25.4454,25.1768
27.3731,8659.8682,25.9492,25.2236
27.7431,8687.6113,25.8526,25.212
27.2725,8714.8838,25.7666,25.209
27.4795,8742.3633,25.6319,25.8164
27.582,8769.9453,25.5527,25.9209
27.4473,8797.3926,25.6562,25.8388
27.3135,8824.7061,25.4931,25.6709
27.3671,8852.0732,25.374,25.6241
27.3565,8879.4297,25.4873,25.6514
29.4531,8908.8828,25.4902,25.3165
27.0527,8935.9355,25.499,25.331
26.8868,8962.8223,25.4903,25.2295
26.9511,8989.7734,25.4639,25.2861
27.0059,9016.7793,25.4844,25.3437
26.8779,9043.6572,25.4511,25.2022
27.5889,9071.2461,25.3916,25.9482
27.6269,9098.873,25.4307,25.9707
27.5069,9126.3799,25.9834,25.8389
27.3125,9153.6924,25.9111,25.7363
27.4189,9181.1113,25.9082,25.7588
28.0371,9209.1484,25.2012,26.2256
27.4805,9236.6289,25.2187,25.8164
27.4287,9264.0576,25.168,25.8272
27.4912,9291.5488,25.2119,25.8819
27.4785,9319.0273,25.167,25.8691
27.5313,9346.5586,24.9483,25.8437
27.4932,9374.0518,24.9854,25.8535
28.1943,9402.2461,24.9678,26.5723
28.1719,9430.418,24.9219,26.5235
28.0869,9458.5049,25.0166,26.4678
28.1133,9486.6182,24.9814,26.4014
28.1289,9514.7471,25.044,26.3359
28.0986,9542.8457,24.9892,26.1846
27.5127,9570.3584,25.0518,25.8564
28.2031,9598.5615,24.9668,25.875
28.7305,9627.292,24.9873,26.5088
28.3369,9655.6289,24.9824,26.6866
28.0918,9683.7207,25.0352,26.456
28.0586,9711.7793,25.0997,26.4424
28.0127,9739.792,24.9609,26.4277
27.7646,9767.5566,24.9639,26.1484
27.6182,9795.1748,24.999,25.8995
27.2119,9822.3867,25.5332,25.5634
27.1992,9849.5859,25.4726,25.5674
27.1289,9876.7148,25.5156,25.5254
27.9375,9904.6523,26.0059,26.2988
27.7325,9932.3848,26.0108,26.1436
27.8525,9960.2373,25.8408,26.1728
27.668,9987.9053,25.7178,26.0224
27.9209,10015.8262,25.711,26.2636
27.7031,10043.5293,25.6367,26.042
27.2852,10070.8145,25.5137,25.6406
27.2988,10098.1133,25.9189,25.6748
27.3955,10125.5088,25.9034,25.7305
27.332,10152.8408,25.8008,25.709
28.0606,10180.9014,25.7324,26.4658
27.9531,10208.8545,25.7578,26.3379
28.0059,10236.8604,25.706,26.3252
27.9316,10264.792,25.5088,26.2558
27.8447,10292.6367,25.4658,26.2158
27.7285,10320.3652,25.6368,26.1553
27.4688,10347.834,25.5469,25.8692
27.6562,10375.4902,26.0323,25.872
28.0118,10403.502,26.5859,25.293
27.7441,10431.2461,26.3701,25.3593
27.6475,10458.8936,26.3145,25.916
27.6718,10486.5654,26.2402,26.0195
27.6407,10514.2061,26.2734,25.8457
27.5,10541.7061,26.1406,25.6524
27.4882,10569.1943,26.1416,25.6787
28.3184,10597.5127,26.0576,25.6035
27.2793,10624.792,25.959,25.2549
28.0918,10652.8838,26.7032,25.3457
29.2041,10682.0879,26.6064,25.212
27.7725,10709.8604,26.3702,25.2305
27.6816,10737.542,26.3106,25.1738
27.6533,10765.1953,26.2949,25.2422
27.544,10792.7393,26.2265,25.206
29.0742,10821.8135,26.1533,25.8711
27.4775,10849.291,26.0381,25.8975
27.9688,10877.2598,26.6172,25.7187
27.957,10905.2168,26.5742,25.7246
27.9502,10933.167,26.6065,25.7548
27.8203,10960.9873,26.4903,25.626
27.874,10988.8613,26.416,25.2285
27.3672,11016.2285,26.0362,25.666
27.3506,11043.5791,26.0625,25.6602
27.3213,11070.9004,25.9366,25.668
28.0566,11098.957,25.7803,26.4385
27.9961,11126.9531,25.8574,26.3379
27.8633,11154.8164,25.8447,26.1983
27.7383,11182.5547,25.6807,26.1318
27.834,11210.3887,26.0449,26.1895
27.7734,11238.1621,26.1084,26.1113
27.4365,11265.5986,25.9072,25.7451
27.2862,11292.8848,25.916,25.6826
28.7822,11321.667,25.8174,25.6289
27.3965,11349.0635,25.793,25.7276
28.0049,11377.0684,25.664,26.335
28.7412,11405.8096,25.5273,26.3476
27.9453,11433.7549,26.0292,26.2784
27.79,11461.5449,26.1563,26.1622
27.7539,11489.2988,25.9551,26.083
27.6084,11516.9072,25.8311,26.0527
28.7979,11545.7051,25.7734,25.6778
27.3105,11573.0156,25.8486,25.5674
28.6143,11601.6299,25.3408,26.8623
28.5488,11630.1787,25.0967,26.9033
28.4629,11658.6416,25.5332,26.8564
28.4395,11687.0811,25.6503,26.789
28.206,11715.2871,25.4707,26.5976
28.1445,11743.4316,25.3633,26.5009
27.8389,11771.2705,25.4307,26.2031
27.7871,11799.0576,25.2295,26.166
28.5742,11827.6318,25.0801,26.9238
28.5284,11856.1602,25.0644,26.8301
28.497,11884.6572,25.6241,26.8233
28.2412,11912.8984,25.5771,26.5899
28.1875,11941.0859,25.374,26.5791
28.1055,11969.1914,25.2627,26.4277
27.8906,11997.082,25.3174,26.2353
27.9043,12024.9863,25.2412,26.2158
29.1953,12054.1816,25.0411,26.7891
28.5909,12082.7725,25.1933,26.9668
28.4423,12111.2148,25.1855,26.7666
28.376,12139.5908,25.1201,26.6953
28.2031,12167.7939,25.127,26.5566
28.3204,12196.1143,25.6934,26.4288
27.4052,12223.5195,26.0478,25.6328
27.2871,12250.8066,25.9004,25.6914
28.086,12278.8926,25.8165,26.4062
28.1299,12307.0225,25.7959,26.4189
27.9033,12334.9258,25.7422,26.2343
27.7724,12362.6982,25.4951,26.1221
27.7217,12390.4199,25.7509,26.0391
27.6153,12418.0352,25.6719,25.9219
28.3193,12446.3545,25.6806,25.497
27.292,12473.6465,25.6817,25.6211
27.8525,12501.499,25.6455,26.2314
27.8614,12529.3604,26.2617,26.2334
27.8339,12557.1943,26.0742,26.1934
27.6455,12584.8398,26.1553,26.0449
27.6661,12612.5059,26.0889,26.041
27.5908,12640.0967,26.0586,25.957
27.2256,12667.3223,25.8896,25.5508
27.7509,12695.0732,25.9385,26.1465
27.8623,12722.9355,25.7618,26.2783
27.6553,12750.5908,26.1338,26.039
27.6748,12778.2656,26.1543,25.9678
27.9727,12806.2383,26.5723,25.4356
27.7568,12833.9951,26.4199,25.2851
27.8106,12861.8057,26.4873,24.9902
27.7285,12889.5342,26.4297,25.002
27.624,12917.1582,26.3007,25.6299
28,12945.1582,26.6475,25.7061
28.0488,12973.207,26.6962,25.542
27.9844,13001.1914,26.6289,25.4091
27.9375,13029.1289,26.6153,25.5019
27.7979,13056.9268,26.4522,25.29
27.9257,13084.8525,26.5674,25.0264
27.9248,13112.7773,26.6065,25.0098
27.8868,13140.6641,26.5869,24.9854
27.8505,13168.5146,26.5176,25.0098
27.8916,13196.4062,26.5488,25.7168
27.8643,13224.2705,26.5381,25.707
29.6426,13253.9131,26.6075,25.6191
27.8584,13281.7715,26.5273,25.4258
27.9443,13309.7158,26.5752,25.5176
27.8487,13337.5645,26.5205,25.2334
27.8642,13365.4287,26.4941,24.957
28.0547,13393.4834,26.58,25.004
27.917,13421.4004,26.0723,26.2041
27.8115,13449.2119,26.0928,26.1963
28.2861,13477.498,26.0479,26.1377
27.5567,13505.0547,26.04,25.9112
27.6543,13532.709,25.9502,26.0098
27.54,13560.249,26.1865,25.8642
27.4004,13587.6494,26.0557,25.6357
27.8008,13615.4502,26.0595,26.1777
