latency,time,GPU1,GPU2,fps,time_rel,,,,,,,,,
28.3725,7279.0771,25.6968,26.7285,35.24539607,0,,27.3349,3691.4526,25.2444,26.2317,36.58326901,0,,
28.4043,7307.4814,25.7265,26.8184,35.20593713,28.4043,,28.1285,3719.5811,25.1177,26.5787,35.55113141,28.1285,,
29.4654,7336.9468,25.5151,26.6245,33.93811046,57.8697,,28.0969,3747.678,25.0564,26.5434,35.59111503,56.2254,,
28.3447,7365.2915,25.3623,26.6353,35.27996416,86.2144,,28.3418,3776.0198,25.1075,26.6167,35.28357408,84.5672,,
28.2886,7393.5801,25.4932,26.5605,35.34992895,114.503,,28.0996,3804.1194,25.2365,26.4505,35.5876952,112.6668,,
27.9546,7421.5347,25.2466,26.3955,35.77228792,142.4576,,27.8054,3831.9248,25.0898,26.219,35.96423716,140.4722,,
27.8857,7449.4204,25.1763,26.2661,35.86067411,170.3433,,27.8447,3859.7695,25.2112,26.1626,35.91347725,168.3169,,
28.5381,7477.9585,25.0937,26.8501,35.04087518,198.8814,,27.898,3887.6675,25.164,26.2156,35.84486343,196.2149,,
28.6118,7506.5703,25.6636,26.8833,34.95061478,227.4932,,27.7868,3915.4543,25.1103,26.1824,35.988311,224.0017,,
28.2871,7534.8574,25.6845,26.6304,35.35180347,255.7803,,27.8924,3943.3467,25.2673,26.1524,35.85206006,251.8941,,
28.2852,7563.1426,25.5635,26.6225,35.35417816,284.0655,,28.6247,3971.9714,25.1491,26.9041,34.93486395,280.5188,,
28.102,7591.2446,25.375,26.5717,35.5846559,312.1675,,28.5745,4000.5459,25.2144,26.9463,34.9962379,309.0933,,
28.0083,7619.2529,25.3716,26.3633,35.70370212,340.1758,,28.4446,4028.9905,25.1519,26.7886,35.15605774,337.5379,,
28.4566,7647.7095,25.252,26.8579,35.14123261,368.6324,,29.4524,4058.4429,25.15,26.6345,33.95309041,366.9903,,
28.5073,7676.2168,25.1055,26.8017,35.07873422,397.1397,,28.3813,4086.8242,25.1289,26.7942,35.23446777,395.3716,,
28.2871,7704.5039,25.1216,26.6817,35.35180347,425.4268,,28.1514,4114.9756,25.2036,26.3885,35.52221204,423.523,,
28.1841,7732.688,25.19,26.5401,35.48099815,453.6109,,29.0517,4144.0273,25.1201,26.2583,34.42139358,452.5747,,
28.1684,7760.8564,25.0986,26.5259,35.50077392,481.7793,,27.6529,4171.6802,25.1011,26.1401,36.16257246,480.2276,,
28.0162,7788.8726,25.1382,26.3896,35.6936344,509.7955,,27.9453,4199.6255,25.2364,26.2466,35.78419269,508.1729,,
28.3242,7817.1968,25.5879,26.6997,35.30549848,538.1197,,27.9961,4227.6216,25.0903,26.289,35.7192609,536.169,,
28.5024,7845.6992,25.6772,26.893,35.08476479,566.6221,,27.7388,4255.3604,25.0694,26.1792,36.05058618,563.9078,,
28.2656,7873.9648,25.5151,26.7066,35.37869354,594.8877,,27.9121,4283.2725,25.0625,26.1827,35.82675614,591.8199,,
28.8711,7902.8359,25.4043,26.5371,34.63671284,623.7588,,27.7407,4311.0132,25.1192,26.2031,36.04811703,619.5606,,
28.3301,7931.166,25.4414,26.6416,35.29814579,652.0889,,27.8501,4338.8633,25.0738,26.2773,35.9065138,647.4107,,
28.1104,7959.2764,25.3008,26.4155,35.57402243,680.1993,,29.8257,4368.689,25.1694,26.876,33.52813178,677.2364,,
27.8071,7987.0835,25.1738,26.2066,35.96203847,708.0064,,28.5952,4397.2842,25.2144,26.8501,34.97090421,705.8316,,
28.4155,8015.499,25.168,26.7964,35.19206067,736.4219,,28.3872,4425.6714,25.0874,26.7818,35.22714463,734.2188,,
28.4893,8043.9883,25.7295,26.9096,35.10089753,764.9112,,28.3891,4454.0605,25.2021,26.7212,35.22478698,762.6079,,
28.27,8072.2583,25.7002,26.604,35.37318712,793.1812,,28.3531,4482.4136,25.0586,26.6567,35.26951198,790.961,,
28.1621,8100.4204,25.4687,26.6191,35.50871561,821.3433,,28.1084,4510.522,25.169,26.4262,35.57655363,819.0694,,
29.9448,8130.3652,25.4877,26.7315,33.39477973,851.2881,,27.8969,4538.4189,25.2042,26.352,35.84627683,846.9663,,
28.0181,8158.3833,25.396,26.2871,35.69121389,879.3062,,27.9854,4566.4043,25.1656,26.2666,35.73291788,874.9517,,
27.7749,8186.1582,25.2188,26.1338,36.00372999,907.0811,,28.3569,4594.7612,25.1245,26.8252,35.26478564,903.3086,,
28.0566,8214.2148,25.5898,26.3999,35.64223748,935.1377,,28.3789,4623.1401,25.1382,26.8711,35.23744754,931.6875,,
28.6211,8242.8359,25.541,26.9375,34.9392581,963.7588,,28.356,4651.4961,25.0376,26.8428,35.26590492,960.0435,,
28.4082,8271.2441,25.4659,26.7559,35.20110391,992.167,,28.2358,4679.7319,25.063,26.6997,35.41603213,988.2793,,
28.2832,8299.5273,25.4023,26.6123,35.35667817,1020.4502,,28.1963,4707.9282,25.0668,26.6128,35.4656462,1016.4756,,
28.2207,8327.748,25.3828,26.5694,35.43498212,1048.6709,,28.1284,4736.0566,25.0616,26.4697,35.5512578,1044.604,,
28.1856,8355.9336,25.3193,26.586,35.4791099,1076.8565,,27.7793,4763.8359,25.0761,26.2275,35.99802731,1072.3833,,
27.7764,8383.71,25.1875,26.2685,36.00178569,1104.6329,,27.8907,4791.7266,25.1235,26.2109,35.85424532,1100.274,,
27.7402,8411.4502,25.1778,26.045,36.04876677,1132.3731,,28.6005,4820.3271,25.0728,26.9424,34.9644237,1128.8745,,
27.6748,8439.125,25.1963,26.0674,36.1339558,1160.0479,,28.6089,4848.936,25.1211,26.9952,34.95415762,1157.4834,,
27.6787,8466.8037,25.1983,26.1309,36.12886443,1187.7266,,28.5777,4877.5137,25.0971,26.8912,34.99231919,1186.0611,,
28.3555,8495.1592,25.1543,26.837,35.26652678,1216.0821,,28.312,4905.8257,25.1231,26.6817,35.32071207,1214.3731,,
28.3642,8523.5234,25.253,26.7549,35.25570966,1244.4463,,28.374,4934.1997,25.0019,26.6812,35.24353281,1242.7471,,
28.3399,8551.8633,25.2529,26.7197,35.28593961,1272.7862,,28.0498,4962.2495,25.1338,26.5401,35.65087808,1270.7969,,
28.2676,8580.1309,25.6074,26.67,35.37619041,1301.0538,,27.9658,4990.2153,25.0889,26.3008,35.75796151,1298.7627,,
28.1826,8608.3135,25.6114,26.6338,35.4828866,1329.2364,,27.8941,5018.1094,25.1094,26.2529,35.84987506,1326.6568,,
28.0537,8636.3672,25.6074,26.3897,35.64592193,1357.2901,,28.6518,5046.7612,25.0322,27.0507,34.90182118,1355.3086,,
27.7432,8664.1104,25.3643,26.1357,36.04486865,1385.0333,,29.648,5076.4092,25.2651,26.8989,33.72908797,1384.9566,,
27.708,8691.8184,25.4053,26.169,36.09065974,1412.7413,,28.5757,5104.9849,25.1275,26.8882,34.99476828,1413.5323,,
28.3369,8720.1553,25.3183,26.835,35.2896753,1441.0782,,28.2866,5133.2715,25.0874,26.6709,35.35242836,1441.8189,,
28.3642,8748.5195,25.2168,26.8076,35.25570966,1469.4424,,28.4214,5161.6929,25.0523,26.7666,35.18475515,1470.2403,,
28.4561,8776.9756,25.1943,26.8174,35.14185008,1497.8985,,28.1294,5189.8223,25.0913,26.5117,35.54999396,1498.3697,,
