latency,time,GPU1,GPU2
27.9648,7850.6787,25.2202,26.6216
28.4922,7879.1709,25.0834,26.7413
28.4482,7907.6191,25.0962,26.7574
28.354,7935.9731,25.0166,26.5987
28.293,7964.2661,24.9839,26.4897
28.292,7992.5581,25,26.54
28.3106,8020.8687,25.0469,26.4907
28.229,8049.0977,25.0635,26.4214
28.2461,8077.3438,25.0151,26.4785
28.2807,8105.6245,25.0859,26.4634
28.5054,8134.1299,25.1362,26.4116
28.5688,8162.6987,24.9937,26.4434
28.2598,8190.9585,25.0645,26.4809
28.106,8219.0645,25.0577,26.3584
28.1406,8247.2051,25.0068,26.336
28.2031,8275.4082,25.0478,26.4004
28.1162,8303.5244,25.0986,26.375
28.1221,8331.6465,25.0118,26.3877
28.1064,8359.7529,25.0381,26.3486
28.0567,8387.8096,25.041,26.3535
28.0908,8415.9004,24.9834,26.2822
28.2129,8444.1133,25.0351,26.4502
28.1699,8472.2832,25.04,26.4033
28.3672,8500.6504,25,26.3487
29.8926,8530.543,24.9346,26.3164
28.1015,8558.6445,24.9951,26.3877
28.083,8586.7275,25.0684,26.3984
27.9268,8614.6543,25.0225,26.3135
28.1074,8642.7617,25.0019,26.3916
28.0293,8670.791,24.9912,26.3809
28.1162,8698.9072,24.9961,26.3506
28.1514,8727.0586,25.0488,26.3584
28.0019,8755.0605,25.0234,26.3877
28.3409,8783.4014,25.0332,26.3887
28.1748,8811.5762,25.0684,26.4522
28.1718,8839.748,25.0644,26.4424
28.0713,8867.8193,25.0752,26.3848
28.0137,8895.833,25.0635,26.3086
28.2256,8924.0586,25.0303,26.5
27.9873,8952.0459,24.9961,26.2813
28.0391,8980.085,25.0283,26.3613
29.6494,9009.7344,25.002,26.3399
28.2138,9037.9482,25.0547,26.3565
28.212,9066.1602,25.0615,26.4141
28.7666,9094.9268,25.0479,26.4463
28.0283,9122.9551,24.9678,26.2656
28.0556,9151.0107,25.0361,26.375
28.1377,9179.1484,25.0743,26.3965
28.1514,9207.2998,24.9971,26.4189
28.1338,9235.4336,25.0118,26.3945
29.7734,9265.207,25.001,26.4248
28.043,9293.25,25.0117,26.4473
28.1523,9321.4023,25.0811,26.4384
28.0772,9349.4795,25.0752,26.3809
28.0137,9377.4932,25.0469,26.3887
28.0322,9405.5254,25.0381,26.4014
28.1172,9433.6426,25.0439,26.4434
28.1181,9461.7607,24.9863,26.4199
28.0586,9489.8193,25.0157,26.462
27.9805,9517.7998,25.0449,26.3896
27.9531,9545.7529,25.0156,26.419
29.5879,9575.3408,25.0225,26.4219
28.1631,9603.5039,25.0987,26.4219
28.1074,9631.6113,25.0762,26.3867
28.1094,9659.7207,25.0215,26.3946
28.1465,9687.8672,25.0302,26.374
28.1474,9716.0146,25.0801,26.3926
28.0635,9744.0781,25.0449,26.3642
28.1455,9772.2236,25.1201,26.3554
29.6192,9801.8428,25.0713,26.4355
28.0986,9829.9414,25.0508,26.4052
28.2158,9858.1572,25.0693,26.5039
28.0127,9886.1699,25.08,26.3545
28.0049,9914.1748,25.1319,26.416
28.0283,9942.2031,24.9912,26.4629
27.9004,9970.1035,25.0605,26.3223
27.9082,9998.0117,24.9854,26.3779
28.1026,10026.1143,25.0322,26.4151
28.1464,10054.2607,25.0859,26.4932
28.1065,10082.3672,25.0263,26.4804
28.0957,10110.4629,25.1396,26.456
28.1025,10138.5654,25.0507,26.3721
28.0098,10166.5752,25.0566,26.4404
28.168,10194.7432,25.1094,26.4405
28.1816,10222.9248,25.0596,26.4219
28.1016,10251.0264,25.0049,26.4287
28.0986,10279.125,25.29,26.4531
28.2109,10307.3359,25.1797,26.5479
29.2237,10336.5596,25.3564,26.3984
28.2763,10364.8359,25.0429,26.4365
28.1543,10392.9902,25.0039,26.3799
28.1973,10421.1875,25.0937,26.3652
28.1641,10449.3516,25.0879,26.4287
28.1074,10477.459,25.0302,26.4023
28.1875,10505.6465,24.9893,26.4248
28.0908,10533.7373,25.0049,26.4297
28.2705,10562.0078,25.0098,26.4785
28.1582,10590.166,25.0029,26.3876
28.124,10618.29,25.121,26.4766
28.3467,10646.6367,25.0068,26.3457
28.2129,10674.8496,25.0302,26.3867
28.5342,10703.3838,25.0088,26.4267
27.9463,10731.3301,25.0918,26.4062
27.9033,10759.2334,24.9981,26.4492
27.8545,10787.0879,25.0117,26.4316
28.0498,10815.1377,25.0371,26.4697
27.8379,10842.9756,24.9668,26.3613
27.9297,10870.9053,25.0059,26.4746
27.8769,10898.7822,25.0479,26.3868
27.9668,10926.749,24.9833,26.4072
27.9776,10954.7266,25.0117,26.4404
27.9326,10982.6592,25.0234,26.3789
27.9472,11010.6064,25.0401,26.4814
27.9502,11038.5566,24.9844,26.4727
27.8438,11066.4004,25.0088,26.4092
27.791,11094.1914,25.0088,26.3779
27.9766,11122.168,24.9863,26.4414
27.8965,11150.0645,24.9961,26.4531
27.7949,11177.8594,24.9786,26.3926
27.8525,11205.7119,24.9746,26.3613
27.9385,11233.6504,24.9677,26.4629
27.9814,11261.6318,25.0352,26.4824
28.0772,11289.709,25.0742,26.4424
29.2471,11318.9561,25.002,26.4121
27.8222,11346.7783,24.9951,26.4033
27.919,11374.6973,25.0273,26.4091
28.0713,11402.7686,25.0176,26.4834
28.0673,11430.8359,25.042,26.4189
27.9229,11458.7588,25.0039,26.3623
28.0098,11486.7686,25.0469,26.4385
28.1933,11514.9619,25.0381,26.3975
28.1777,11543.1396,25.0224,26.4121
28.2393,11571.3789,24.9893,26.458
28.1426,11599.5215,25.0469,26.4687
28.124,11627.6455,25.0469,26.3858
28.2002,11655.8457,24.96,26.5302
28.1973,11684.043,24.9609,26.5322
29.3408,11713.3838,25.0664,26.4922
28.0195,11741.4033,25.0508,26.4228
27.9531,11769.3564,25.0371,26.4267
28.0108,11797.3672,25.0381,26.4687
27.8848,11825.252,25.0059,26.416
27.8886,11853.1406,25.0371,26.3916
27.9385,11881.0791,25.0185,26.4746
27.9326,11909.0117,25.0625,26.4531
28.0166,11937.0283,25.042,26.5654
27.916,11964.9443,24.9863,26.4131
27.9414,11992.8857,24.9863,26.4473
27.8965,12020.7822,24.9873,26.3711
27.8701,12048.6523,25.0283,26.3466
27.962,12076.6143,25.0997,26.4913
27.8994,12104.5137,25.0107,26.4102
27.9092,12132.4229,25.0605,26.4209
27.8623,12160.2852,25.0439,26.4229
27.8808,12188.166,25.0254,26.3965
27.9776,12216.1436,25.0137,26.4864
27.8554,12243.999,25.0479,26.459
27.9024,12271.9014,25.0585,26.4267
