latency,time,GPU1,GPU2,fps,time_rel,,
27.6775,3336.5039,25.2426,26.488,36.13043086,0,,
28.0684,3364.5723,24.9939,26.4722,35.62725342,28.0684,,
28.0722,3392.6445,25.0837,26.501,35.62243073,56.1406,,
28.0767,3420.7212,25.0054,26.4604,35.61672134,84.2173,,
28.0205,3448.7417,25.4929,26.4419,35.68815689,112.2378,,
27.9771,3476.7188,25.5427,26.3758,35.74351881,140.2149,,
28.0136,3504.7324,25.3352,26.4177,35.6969472,168.2285,,
28.2259,3532.9583,25.1868,26.5534,35.42845401,196.4544,,
27.9409,3560.8992,25.2568,26.4697,35.78982782,224.3953,,
28.2102,3589.1094,25.1526,26.5034,35.44817123,252.6055,,
28.071,3617.1804,25.0535,26.518,35.62395355,280.6765,,
28.0728,3645.2532,25.0698,26.4988,35.62166937,308.7493,,
28.2038,3673.457,25.0598,26.6609,35.45621512,336.9531,,
28.482,3701.939,25.1391,26.7481,35.10989397,365.4351,,
28.6565,3730.5955,25.5512,26.9069,34.89609687,394.0916,,
28.2666,3758.8621,25.4854,26.5342,35.37744193,422.3582,,
27.799,3786.6611,25.3818,26.3039,35.972517,450.1572,,
27.7679,3814.429,25.2449,26.2902,36.01280615,477.9251,,
29.9851,3844.4141,25.2204,26.9527,33.34989712,507.9102,,
28.4924,3872.9065,25.1731,26.9161,35.09707852,536.4026,,
28.3181,3901.2246,25.5479,26.7641,35.31310363,564.7207,,
28.1943,3929.4189,25.5102,26.655,35.468162,592.915,,
28.2574,3957.6763,25.4238,26.6753,35.38896006,621.1724,,
27.9897,3985.666,25.3904,26.4837,35.7274283,649.1621,,
28.5947,4014.2607,25.347,27.0791,34.9715157,677.7568,,
28.451,4042.7117,25.2429,26.9233,35.14814945,706.2078,,
28.3366,4071.0483,25.104,26.8725,35.29004891,734.5444,,
28.2613,4099.3096,25.0569,26.6396,35.38407646,762.8057,,
28.7397,4128.0493,25.5386,26.6875,34.79507441,791.5454,,
27.9512,4156.0005,25.583,26.4541,35.77663929,819.4966,,
28.2783,4184.2788,25.4019,26.895,35.36280469,847.7749,,
28.1484,4212.4272,25.3979,26.9917,35.52599793,875.9233,,
28.0025,4240.4297,25.4214,26.7789,35.71109722,903.9258,,
27.7793,4268.209,25.3726,26.6338,35.99802731,931.7051,,
27.8555,4296.0645,25.1997,26.7441,35.89955305,959.5606,,
28.7802,4324.8447,25.0669,26.6059,34.74611017,988.3408,,
27.4741,4352.3188,25.7349,26.2837,36.39791658,1015.8149,,
28.1031,4380.4219,25.7783,27.0318,35.58326306,1043.918,,
27.9883,4408.4102,25.435,26.8891,35.72921542,1071.9063,,
27.937,4436.3472,25.4248,26.8691,35.79482407,1099.8433,,
28.7129,4465.0601,25.4844,26.6694,34.82755138,1128.5562,,
27.8281,4492.8882,25.3486,26.7588,35.93490033,1156.3843,,
27.7676,4520.6558,25.1201,26.5014,36.01319523,1184.1519,,
28.0527,4548.7085,25.1607,26.9341,35.64719261,1212.2046,,
28.1821,4576.8906,25.8291,26.9893,35.48351613,1240.3867,,
27.9063,4604.7969,25.6094,26.7895,35.83420231,1268.293,,
27.9297,4632.7266,25.5117,26.7568,35.80417978,1296.2227,,
27.7216,4660.4482,25.4551,26.6152,36.07295394,1323.9443,,
28.8907,4689.3389,25.2705,26.6104,34.61321463,1352.835,,
27.5337,4716.8726,25.4184,26.4599,36.31912892,1380.3687,,
27.9995,4744.8721,25.2573,26.812,35.71492348,1408.3682,,
28.0288,4772.9009,25.7177,26.9097,35.67758877,1436.397,,
28.0371,4800.938,25.7603,26.8067,35.6670269,1464.4341,,
28.3838,4829.3218,25.4229,26.7759,35.23136437,1492.8179,,
28.25,4857.5718,25.2641,26.7232,35.39823009,1521.0679,,
27.8286,4885.4004,25.3115,26.3677,35.93425469,1548.8965,,
28.5215,4913.9219,25.2134,26.9404,35.06126957,1577.418,,
28.4477,4942.3696,25.6485,26.8584,35.15222672,1605.8657,,
28.2388,4970.6084,25.5737,26.6324,35.41226964,1634.1045,,
28.2261,4998.8345,25.4829,26.6787,35.42820298,1662.3306,,
27.9902,5026.8247,25.3443,26.4957,35.72679009,1690.3208,,
28.0689,5054.8936,25.4429,26.4615,35.62661878,1718.3897,,
28.2763,5083.1699,25.2261,26.1909,35.36530593,1746.666,,
27.5073,5110.6772,25.0947,26.0962,36.35398603,1774.1733,,
28.4195,5139.0967,25.2285,26.8545,35.18710744,1802.5928,,
28.4512,5167.5479,25.6885,26.8823,35.14790237,1831.044,,
28.3818,5195.9297,25.6055,26.7461,35.23384704,1859.4258,,
28.1401,5224.0698,25.5376,26.6064,35.53647642,1887.5659,,
28.127,5252.1968,25.5469,26.5869,35.55302734,1915.6929,,
27.9345,5280.1313,25.4092,26.4258,35.79802753,1943.6274,,
27.8785,5308.0098,25.1958,26.3077,35.86993561,1971.5059,,
28.4687,5336.4785,25.1016,26.8848,35.1262966,1999.9746,,
28.2373,5364.7158,25.1387,26.7509,35.41415079,2028.2119,,
29.5747,5394.2905,25.5644,26.707,33.81268449,2057.7866,,
28.1304,5422.4209,25.7573,26.6084,35.5487302,2085.917,,
28.1953,5450.6162,25.5146,26.5717,35.46690406,2114.1123,,
28.0503,5478.6665,25.4126,26.3755,35.6502426,2142.1626,,
28.5054,5507.1719,25.478,26.9194,35.08107236,2170.668,,
28.6079,5535.7798,25.2412,26.8609,34.95537946,2199.2759,,
28.3213,5564.1011,25.1968,26.6796,35.30911364,2227.5972,,
28.1997,5592.3008,25.1914,26.5664,35.46137016,2255.7969,,
28.7475,5621.0483,25.6328,26.6626,34.78563353,2284.5444,,
28.0025,5649.0508,25.5679,26.3648,35.71109722,2312.5469,,
28.5014,5677.5522,25.4849,26.8013,35.08599578,2341.0483,,
28.7935,5706.3457,25.3057,26.915,34.7300606,2369.8418,,
28.2593,5734.605,25.332,26.7055,35.3865807,2398.1011,,
28.2236,5762.8286,25.2642,26.6216,35.43134115,2426.3247,,
27.9771,5790.8057,25.7022,26.5259,35.74351881,2454.3018,,
27.8208,5818.6265,25.6035,26.351,35.94432942,2482.1226,,
27.957,5846.5835,25.6041,26.2041,35.76921701,2510.0796,,
27.8286,5874.4121,25.4892,26.1914,35.93425469,2537.9082,,
28.3677,5902.7798,25.3496,26.7603,35.25135982,2566.2759,,
28.6758,5931.4556,25.69,26.8291,34.87261035,2594.9517,,
28.4531,5959.9087,25.8037,26.7163,35.14555532,2623.4048,,
28.1997,5988.1084,25.5068,26.6167,35.46137016,2651.6045,,
28.2969,6016.4053,25.4599,26.5518,35.33956016,2679.9014,,
27.8076,6044.2129,25.4155,26.336,35.96139185,2707.709,,
28.2773,6072.4902,25.2925,26.7666,35.36405527,2735.9863,,
28.6397,6101.1299,25.2735,26.7759,34.91656686,2764.626,,
28.3413,6129.4712,25.123,26.6904,35.28419656,2792.9673,,
28.3159,6157.7871,25.7041,26.6509,35.31584728,2821.2832,,
28.2525,6186.0396,25.5947,26.5713,35.39509778,2849.5357,,
28.0424,6214.082,25.4961,26.4263,35.66028585,2877.5781,,
27.8726,6241.9546,25.3999,26.27,35.87752847,2905.4507,,
28.291,6270.2456,25.458,26.8281,35.34693012,2933.7417,,
28.4971,6298.7427,25.3042,26.8501,35.09128999,2962.2388,,
28.2412,6326.9839,25.1338,26.6752,35.40926023,2990.48,,
28.2397,6355.2236,25.1474,26.6123,35.41114105,3018.7197,,
28.2251,6383.4487,25.6641,26.5913,35.42945818,3046.9448,,
27.9624,6411.4111,25.5796,26.253,35.76230939,3074.9072,,
28.419,6439.8301,25.4775,26.8067,35.18772652,3103.3262,,
28.4243,6468.2544,25.6065,26.8077,35.18116541,3131.7505,,
28.3994,6496.6538,25.5386,26.8067,35.21201152,3160.1499,,
28.0244,6524.6782,25.6176,26.4995,35.68319036,3188.1743,,
