latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.086,13408.6475,13.1279,12.5713,12.7178,14.0839,62.16585851,0,,15.5595,5558.7734,13.1968,12.4595,12.751,13.8901,64.2694174,0
16.1181,13424.7656,13.2139,12.583,12.7344,14.0967,62.0420521,16.1181,,15.6392,5574.4126,13.0069,12.4692,12.9067,13.917,63.94188961,15.6392
16.624,13441.3896,13.0645,12.5821,12.8457,14.0254,60.15399423,32.7421,,15.8013,5590.2139,13.0888,12.5571,12.8272,13.9448,63.28593217,31.4405
16.0137,13457.4033,13.0488,12.543,12.7002,14.0087,62.44653016,48.7558,,17.185,5607.3989,13.0386,12.4848,12.9038,13.956,58.19028222,48.6255
16.5186,13473.9219,13.1084,12.5166,12.71,14.0645,60.53781797,65.2744,,15.833,5623.2319,13.0566,12.4673,12.8511,13.9639,63.1592244,64.4585
19.0224,13492.9443,13.1006,12.5449,12.6933,13.9463,52.56960215,84.2968,,15.8286,5639.0605,13.06,12.4776,12.9536,13.8984,63.17678127,80.2871
15.7608,13508.7051,13.0703,12.6201,12.7266,13.8789,63.44855591,100.0576,,15.6167,5654.6772,13.1157,12.565,12.8916,13.9111,64.03401487,95.9038
16.5781,13525.2832,13.041,12.5742,12.7539,13.8838,60.32054337,116.6357,,15.8877,5670.5649,13.0469,12.7627,12.7012,14.0562,62.94177257,111.7915
15.916,13541.1992,13.0781,12.5235,12.7217,13.9404,62.82985675,132.5517,,16.1123,5686.6772,12.9414,12.6792,12.7901,14.1748,62.06438559,127.9038
15.917,13557.1162,13.0693,12.6143,12.709,13.8789,62.82590941,148.4687,,16.0103,5702.6875,12.9253,12.6665,12.772,14.0669,62.45979151,143.9141
16.2197,13573.3359,13.1123,12.5713,12.7363,13.8643,61.65342146,164.6884,,15.8687,5718.5562,13.0893,12.6421,12.7724,14.0166,63.01713436,159.7828
17.0381,13590.374,13.0879,12.5322,12.7236,13.9326,58.6919903,181.7265,,16.1513,5734.7075,13.0659,12.752,12.7427,14.0894,61.91452081,175.9341
15.7891,13606.1631,13.082,12.541,12.7432,13.832,63.33483226,197.5156,,16.0781,5750.7856,12.9843,12.4443,12.7055,14.0742,62.1964038,192.0122
15.9492,13622.1123,13.0557,12.5253,12.6924,13.9268,62.69906955,213.4648,,16.2017,5766.9873,12.9956,12.4351,12.8598,14.0264,61.72191807,208.2139
16.1719,13638.2842,13.04,12.5771,12.8741,14.1201,61.8356532,229.6367,,15.8506,5782.8379,13.0484,12.4483,12.7876,13.9497,63.08909442,224.0645
16.3232,13654.6074,13.1543,12.5342,12.708,14.1524,61.26249755,245.9599,,15.8457,5798.6836,13.1743,12.4526,12.6997,14.003,63.1086036,239.9102
