latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
15.8369,7518.3579,13.0933,12.5351,12.7598,13.9048,63.14367079,0,,15.4888,4969.9048,13.1089,12.6475,12.8223,13.8339,64.56278085,0
16.5386,7534.8965,13.0356,12.5918,12.8262,13.8589,60.46461006,16.5386,,15.8027,4985.7075,13.0635,12.6636,12.8515,13.9009,63.28032551,15.8027
15.9707,7550.8672,13.103,12.6025,12.8433,14.0161,62.6146631,32.5093,,15.5733,5001.2808,13.0074,12.6397,12.8897,13.7974,64.21246621,31.376
15.9624,7566.8296,13.1538,12.5913,12.8208,14.0176,62.64722097,48.4717,,18.5874,5019.8682,13.0527,12.7641,12.9238,14.0113,53.79988594,49.9634
15.9336,7582.7632,13.1172,12.603,12.7412,14.0254,62.76045589,64.4053,,15.9399,5035.8081,12.9326,12.8008,12.896,14.0156,62.73565079,65.9033
16.2129,7598.9761,13.0351,12.5928,12.7827,13.8891,61.67928008,80.6182,,16.6455,5052.4536,12.9389,12.6988,12.836,14.0337,60.0762969,82.5488
17.4492,7616.4253,13.27,12.6479,12.8442,14.0415,57.30921761,98.0674,,19.1196,5071.5732,13.0683,12.5498,12.8013,14.0279,52.30234942,101.6684
17.5859,7634.0112,13.0767,12.5293,12.8408,13.9384,56.86373743,115.6533,,16.1607,5087.7339,13.0415,12.5327,12.8906,14.1499,61.87850774,117.8291
17.3745,7651.3857,13.105,12.6353,12.7974,13.9766,57.55561311,133.0278,,16.0063,5103.7402,12.9985,12.482,12.7715,14.0064,62.47540031,133.8354
17.2041,7668.5898,13.1358,12.6201,12.7754,13.9189,58.12567934,150.2319,,15.9121,5119.6523,12.9351,12.6357,12.8017,13.9267,62.84525613,149.7475
16.9541,7685.5439,13.0855,12.54,12.8237,14.0078,58.98278293,167.186,,16.1348,5135.7871,12.9834,12.498,12.7402,13.9453,61.97783673,165.8823
19.0577,7704.6016,13.1241,12.6113,12.791,15.6856,52.47222907,186.2437,,15.8399,5151.627,13.127,12.5679,12.7485,13.8569,63.13171169,181.7222
16.0888,7720.6904,13.1622,12.6567,12.7744,13.9594,62.15503953,202.3325,,16.2084,5167.8354,13.0708,12.522,12.7857,13.9097,61.69640433,197.9306
16.3501,7737.0405,13.1172,12.5381,12.8354,14.0249,61.16170543,218.6826,,15.9478,5183.7832,12.9815,12.5732,12.8359,13.9429,62.70457367,213.8784
16.0225,7753.063,13.1215,12.6279,12.8627,13.9004,62.4122328,234.7051,,15.9243,5199.7075,13.0147,12.5454,12.7681,13.9331,62.79710882,229.8027
15.8017,7768.8647,13.168,12.7016,12.7427,13.9243,63.28433017,250.5068,,15.8213,5215.5288,13.0639,12.5434,12.7705,13.8301,63.20593124,245.624
16.0064,7784.8711,13.0899,12.5547,12.8467,14.0147,62.47501,266.5132,,15.8286,5231.3574,12.9014,12.6636,12.6997,13.8784,63.17678127,261.4526
16.04,7800.9111,13.1904,12.6245,12.9185,13.9438,62.34413965,282.5532,,15.8247,5247.1821,12.9712,12.5337,12.8101,13.9096,63.1923512,277.2773
16.0684,7816.9795,13.1621,12.5469,12.8594,14.0757,62.23394986,298.6216,,15.8526,5263.0347,13.022,12.5787,12.7339,13.9,63.08113496,293.1299
