scene,method,gpunum,cpu,mem,gpu,gpu_mem,gpu_mem_util
scene1,benchmark,1,1.805,1.0915,21.3375,158,0.009643555
scene1,benchmark,2,2.855,1.1755,31.25,151.5,0.018493652
scene1,benchmark,4,2.775,1.2295,48.1625,148.25,0.036193848
scene1,multithread,1,1.98,1.113,23.5875,158,0.009643555
scene1,multithread,2,2.495,1.143,36.9625,151.5,0.018493652
scene1,multithread,4,3.06,1.22,59.0375,148.25,0.036193848
scene1,gvulkan,1,2.48,1.127,25,158,0.009643555
scene1,gvulkan,2,3.08,1.16,49.3875,151.5,0.018493652
scene1,gvulkan,4,2.91,1.2595,96.275,148.25,0.036193848
scene3,benchmark,1,1.77,1.157,22.625,253,0.015441895
scene3,benchmark,2,2.155,1.1805,34.275,264,0.032226563
scene3,benchmark,4,2.1,1.25,51.25,269.5,0.065795898
scene3,multithread,1,1.26,1.15,24.05,253,0.015441895
scene3,multithread,2,1.79,1.1755,38.425,264,0.032226563
scene3,multithread,4,2.365,1.25,59.4875,269.5,0.065795898
scene3,gvulkan,1,2.095,1.155,25,253,0.015441895
scene3,gvulkan,2,2.355,1.19,49.4875,264,0.032226563
scene3,gvulkan,4,2.915,1.27,89.4375,269.5,0.065795898
scene4,benchmark,1,2.71,1.1205,19.475,132,0.008056641
scene4,benchmark,2,3.155,1.12,32.4625,125.5,0.015319824
scene4,benchmark,4,2.87,1.19,44.2,122.25,0.029846191
scene4,multithread,1,2.425,1.0905,22.925,132,0.008056641
scene4,multithread,2,2.815,1.12,40.5875,125.5,0.015319824
scene4,multithread,4,5.295,1.1985,62.0125,122.25,0.029846191
scene4,gvulkan,1,2.66,1.1,25,132,0.008056641
scene4,gvulkan,2,4.005,1.167,49.9375,125.5,0.015319824
scene4,gvulkan,4,2.906666667,1.117333333,64.39285714,122.25,0.029846191
scene5,benchmark,1,1.745,1.1495,22.6,142,0.008666992
scene5,benchmark,2,1.985,1.15,38.2875,152.5,0.018615723
scene5,benchmark,4,2.295,1.22,58.125,157.75,0.038513184
scene5,multithread,1,1.025,1.13,24.1,142,0.008666992
scene5,multithread,2,1.685,1.1415,43.15,152.5,0.018615723
scene5,multithread,4,2.31,1.2205,68.9125,157.75,0.038513184
scene5,gvulkan,1,1.93,1.1305,25,142,0.008666992
scene5,gvulkan,2,2.33,1.18,48.4625,152.5,0.018615723
scene5,gvulkan,4,3.025,1.26,89.3875,157.75,0.038513184
