timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:50.166, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:50.166, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:50.167, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:50.984, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:50.984, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:50.986, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:51.802, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:51.802, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:51.803, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:52.622, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:52.622, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:52.624, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:53.461, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:53.461, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:53.462, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:54.280, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:54.280, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:54.281, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:55.097, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:55.097, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:55.099, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:55.918, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
2024/01/07 20:50:55.918, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136692, ./RayTracer, 22 MiB
2024/01/07 20:50:55.919, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 136668, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 20:50:56.740, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 136668, ./DemoServer, 127 MiB
