timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 21:11:26.210, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141600, ./DemoServer, 127 MiB
2024/01/07 21:11:26.210, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141620, ./RayTracer, 22 MiB
2024/01/07 21:11:26.211, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 141600, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 21:11:27.022, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141600, ./DemoServer, 127 MiB
2024/01/07 21:11:27.022, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141620, ./RayTracer, 22 MiB
2024/01/07 21:11:27.023, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 141600, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 21:11:27.839, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141600, ./DemoServer, 127 MiB
2024/01/07 21:11:27.839, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141620, ./RayTracer, 22 MiB
2024/01/07 21:11:27.840, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 141600, ./DemoServer, 124 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 21:11:28.651, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141600, ./DemoServer, 127 MiB
2024/01/07 21:11:28.651, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 141620, ./RayTracer, 22 MiB
