timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:41.643, Tesla T4, 0, 43 %, 160 MiB, 44.26 W
2024/01/07 20:57:41.648, Tesla T4, 1, 52 %, 134 MiB, 56.38 W
2024/01/07 20:57:41.652, Tesla T4, 2, 71 %, 134 MiB, 62.53 W
2024/01/07 20:57:41.656, Tesla T4, 3, 46 %, 134 MiB, 47.93 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:42.459, Tesla T4, 0, 43 %, 160 MiB, 44.09 W
2024/01/07 20:57:42.465, Tesla T4, 1, 53 %, 134 MiB, 55.12 W
2024/01/07 20:57:42.469, Tesla T4, 2, 73 %, 134 MiB, 61.08 W
2024/01/07 20:57:42.473, Tesla T4, 3, 46 %, 134 MiB, 49.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:43.278, Tesla T4, 0, 44 %, 160 MiB, 43.99 W
2024/01/07 20:57:43.282, Tesla T4, 1, 54 %, 134 MiB, 54.87 W
2024/01/07 20:57:43.286, Tesla T4, 2, 73 %, 134 MiB, 62.10 W
2024/01/07 20:57:43.290, Tesla T4, 3, 46 %, 134 MiB, 47.55 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:44.095, Tesla T4, 0, 44 %, 160 MiB, 44.09 W
2024/01/07 20:57:44.099, Tesla T4, 1, 54 %, 134 MiB, 54.67 W
2024/01/07 20:57:44.103, Tesla T4, 2, 72 %, 134 MiB, 60.56 W
2024/01/07 20:57:44.109, Tesla T4, 3, 46 %, 134 MiB, 46.48 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:44.914, Tesla T4, 0, 45 %, 160 MiB, 45.25 W
2024/01/07 20:57:44.919, Tesla T4, 1, 53 %, 134 MiB, 57.63 W
2024/01/07 20:57:44.923, Tesla T4, 2, 72 %, 134 MiB, 58.37 W
2024/01/07 20:57:44.927, Tesla T4, 3, 46 %, 134 MiB, 48.42 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:45.731, Tesla T4, 0, 45 %, 160 MiB, 45.44 W
2024/01/07 20:57:45.736, Tesla T4, 1, 54 %, 134 MiB, 57.21 W
2024/01/07 20:57:45.740, Tesla T4, 2, 72 %, 134 MiB, 58.72 W
2024/01/07 20:57:45.744, Tesla T4, 3, 46 %, 134 MiB, 48.87 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:46.547, Tesla T4, 0, 44 %, 160 MiB, 44.28 W
2024/01/07 20:57:46.551, Tesla T4, 1, 53 %, 134 MiB, 55.93 W
2024/01/07 20:57:46.555, Tesla T4, 2, 72 %, 134 MiB, 60.75 W
2024/01/07 20:57:46.559, Tesla T4, 3, 46 %, 134 MiB, 46.94 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:47.364, Tesla T4, 0, 44 %, 160 MiB, 43.70 W
2024/01/07 20:57:47.368, Tesla T4, 1, 53 %, 134 MiB, 55.51 W
2024/01/07 20:57:47.372, Tesla T4, 2, 72 %, 134 MiB, 60.65 W
2024/01/07 20:57:47.377, Tesla T4, 3, 46 %, 134 MiB, 47.64 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:48.185, Tesla T4, 0, 43 %, 160 MiB, 44.06 W
2024/01/07 20:57:48.189, Tesla T4, 1, 50 %, 134 MiB, 55.51 W
2024/01/07 20:57:48.193, Tesla T4, 2, 70 %, 134 MiB, 61.66 W
2024/01/07 20:57:48.198, Tesla T4, 3, 44 %, 134 MiB, 47.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:49.006, Tesla T4, 0, 43 %, 160 MiB, 44.19 W
2024/01/07 20:57:49.010, Tesla T4, 1, 53 %, 134 MiB, 56.57 W
2024/01/07 20:57:49.014, Tesla T4, 2, 72 %, 134 MiB, 56.57 W
2024/01/07 20:57:49.019, Tesla T4, 3, 46 %, 134 MiB, 46.67 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:49.828, Tesla T4, 0, 44 %, 160 MiB, 42.90 W
2024/01/07 20:57:49.832, Tesla T4, 1, 53 %, 134 MiB, 51.97 W
2024/01/07 20:57:49.836, Tesla T4, 2, 72 %, 134 MiB, 61.81 W
2024/01/07 20:57:49.841, Tesla T4, 3, 46 %, 134 MiB, 52.51 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:50.649, Tesla T4, 0, 44 %, 160 MiB, 44.77 W
2024/01/07 20:57:50.653, Tesla T4, 1, 53 %, 134 MiB, 55.61 W
2024/01/07 20:57:50.657, Tesla T4, 2, 73 %, 134 MiB, 57.44 W
2024/01/07 20:57:50.663, Tesla T4, 3, 47 %, 134 MiB, 48.13 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:51.468, Tesla T4, 0, 43 %, 160 MiB, 43.92 W
2024/01/07 20:57:51.472, Tesla T4, 1, 52 %, 134 MiB, 53.42 W
2024/01/07 20:57:51.477, Tesla T4, 2, 71 %, 134 MiB, 57.99 W
2024/01/07 20:57:51.481, Tesla T4, 3, 46 %, 134 MiB, 48.68 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:52.287, Tesla T4, 0, 44 %, 160 MiB, 43.99 W
2024/01/07 20:57:52.292, Tesla T4, 1, 53 %, 134 MiB, 56.09 W
2024/01/07 20:57:52.296, Tesla T4, 2, 73 %, 134 MiB, 57.31 W
2024/01/07 20:57:52.300, Tesla T4, 3, 46 %, 134 MiB, 49.64 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:53.113, Tesla T4, 0, 44 %, 160 MiB, 43.99 W
2024/01/07 20:57:53.118, Tesla T4, 1, 53 %, 134 MiB, 55.93 W
2024/01/07 20:57:53.122, Tesla T4, 2, 72 %, 134 MiB, 58.47 W
2024/01/07 20:57:53.129, Tesla T4, 3, 46 %, 134 MiB, 46.94 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:53.936, Tesla T4, 0, 44 %, 160 MiB, 46.51 W
2024/01/07 20:57:53.940, Tesla T4, 1, 53 %, 134 MiB, 57.89 W
2024/01/07 20:57:53.944, Tesla T4, 2, 73 %, 134 MiB, 61.91 W
2024/01/07 20:57:53.950, Tesla T4, 3, 47 %, 134 MiB, 50.42 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 20:57:54.757, Tesla T4, 0, 43 %, 160 MiB, 44.26 W
2024/01/07 20:57:54.761, Tesla T4, 1, 53 %, 134 MiB, 53.22 W
2024/01/07 20:57:54.765, Tesla T4, 2, 72 %, 134 MiB, 62.68 W
