timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:54.122, Tesla T4, 0, 89 %, 175 MiB, 70.61 W
2024/01/07 18:03:54.127, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 18:03:54.133, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:03:54.137, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:54.942, Tesla T4, 0, 88 %, 175 MiB, 74.08 W
2024/01/07 18:03:54.948, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 18:03:54.952, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:03:54.956, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:55.759, Tesla T4, 0, 91 %, 175 MiB, 75.71 W
2024/01/07 18:03:55.766, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 18:03:55.770, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:03:55.774, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:56.578, Tesla T4, 0, 90 %, 175 MiB, 78.78 W
2024/01/07 18:03:56.584, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 18:03:56.588, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:03:56.593, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:57.400, Tesla T4, 0, 92 %, 175 MiB, 77.39 W
2024/01/07 18:03:57.406, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 18:03:57.410, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:03:57.415, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:58.223, Tesla T4, 0, 89 %, 175 MiB, 71.24 W
2024/01/07 18:03:58.234, Tesla T4, 1, 0 %, 9 MiB, 36.31 W
2024/01/07 18:03:58.238, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:03:58.242, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:59.052, Tesla T4, 0, 90 %, 175 MiB, 55.34 W
2024/01/07 18:03:59.057, Tesla T4, 1, 0 %, 9 MiB, 36.33 W
2024/01/07 18:03:59.061, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:03:59.065, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:03:59.982, Tesla T4, 0, 90 %, 175 MiB, 51.87 W
2024/01/07 18:03:59.988, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 18:03:59.992, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:03:59.996, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:04:00.806, Tesla T4, 0, 90 %, 175 MiB, 71.14 W
2024/01/07 18:04:00.812, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 18:04:00.816, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
