timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:23.008, Tesla T4, 0, 100 %, 287 MiB, 76.05 W
2024/01/07 19:34:23.015, Tesla T4, 1, 100 %, 285 MiB, 69.93 W
2024/01/07 19:34:23.020, Tesla T4, 2, 0 %, 9 MiB, 35.26 W
2024/01/07 19:34:23.025, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:23.834, Tesla T4, 0, 100 %, 287 MiB, 62.51 W
2024/01/07 19:34:23.840, Tesla T4, 1, 100 %, 285 MiB, 74.94 W
2024/01/07 19:34:23.845, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 19:34:23.850, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:24.658, Tesla T4, 0, 100 %, 287 MiB, 75.76 W
2024/01/07 19:34:24.664, Tesla T4, 1, 100 %, 285 MiB, 69.69 W
2024/01/07 19:34:24.670, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:24.674, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:25.485, Tesla T4, 0, 100 %, 287 MiB, 63.18 W
2024/01/07 19:34:25.495, Tesla T4, 1, 98 %, 285 MiB, 71.04 W
2024/01/07 19:34:25.500, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:25.504, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:26.315, Tesla T4, 0, 100 %, 287 MiB, 75.57 W
2024/01/07 19:34:26.327, Tesla T4, 1, 97 %, 285 MiB, 69.69 W
2024/01/07 19:34:26.332, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 19:34:26.336, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:27.144, Tesla T4, 0, 100 %, 287 MiB, 61.29 W
2024/01/07 19:34:27.149, Tesla T4, 1, 99 %, 285 MiB, 71.14 W
2024/01/07 19:34:27.154, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:34:27.159, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:27.967, Tesla T4, 0, 100 %, 287 MiB, 73.50 W
2024/01/07 19:34:27.973, Tesla T4, 1, 97 %, 285 MiB, 66.46 W
2024/01/07 19:34:27.978, Tesla T4, 2, 0 %, 9 MiB, 35.15 W
2024/01/07 19:34:27.982, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:28.790, Tesla T4, 0, 100 %, 287 MiB, 71.72 W
2024/01/07 19:34:28.800, Tesla T4, 1, 98 %, 285 MiB, 75.86 W
2024/01/07 19:34:28.805, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 19:34:28.809, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:29.617, Tesla T4, 0, 100 %, 287 MiB, 69.03 W
2024/01/07 19:34:29.622, Tesla T4, 1, 97 %, 285 MiB, 60.56 W
2024/01/07 19:34:29.630, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:29.634, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:30.444, Tesla T4, 0, 100 %, 287 MiB, 74.61 W
2024/01/07 19:34:30.449, Tesla T4, 1, 99 %, 285 MiB, 70.56 W
2024/01/07 19:34:30.455, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:30.459, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:31.270, Tesla T4, 0, 100 %, 287 MiB, 61.54 W
2024/01/07 19:34:31.275, Tesla T4, 1, 97 %, 285 MiB, 72.25 W
2024/01/07 19:34:31.280, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:31.286, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:32.096, Tesla T4, 0, 100 %, 287 MiB, 74.51 W
2024/01/07 19:34:32.105, Tesla T4, 1, 99 %, 285 MiB, 67.71 W
2024/01/07 19:34:32.110, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:32.114, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:32.925, Tesla T4, 0, 100 %, 287 MiB, 63.18 W
2024/01/07 19:34:32.938, Tesla T4, 1, 98 %, 285 MiB, 75.37 W
2024/01/07 19:34:32.949, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:32.953, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:33.762, Tesla T4, 0, 100 %, 287 MiB, 68.83 W
2024/01/07 19:34:33.768, Tesla T4, 1, 98 %, 285 MiB, 71.52 W
2024/01/07 19:34:33.775, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:33.779, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:34.588, Tesla T4, 0, 100 %, 287 MiB, 75.18 W
2024/01/07 19:34:34.598, Tesla T4, 1, 97 %, 285 MiB, 62.64 W
2024/01/07 19:34:34.608, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:34.613, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:35.421, Tesla T4, 0, 100 %, 287 MiB, 61.83 W
2024/01/07 19:34:35.430, Tesla T4, 1, 98 %, 285 MiB, 73.69 W
2024/01/07 19:34:35.438, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:35.442, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:36.251, Tesla T4, 0, 100 %, 287 MiB, 69.51 W
2024/01/07 19:34:36.260, Tesla T4, 1, 98 %, 285 MiB, 71.42 W
2024/01/07 19:34:36.267, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:36.271, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:37.083, Tesla T4, 0, 100 %, 287 MiB, 73.89 W
2024/01/07 19:34:37.095, Tesla T4, 1, 98 %, 285 MiB, 58.85 W
2024/01/07 19:34:37.100, Tesla T4, 2, 0 %, 9 MiB, 34.85 W
2024/01/07 19:34:37.104, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:37.912, Tesla T4, 0, 100 %, 287 MiB, 63.18 W
2024/01/07 19:34:37.923, Tesla T4, 1, 97 %, 285 MiB, 69.98 W
2024/01/07 19:34:37.928, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:37.932, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:38.742, Tesla T4, 0, 100 %, 287 MiB, 67.62 W
2024/01/07 19:34:38.755, Tesla T4, 1, 99 %, 285 MiB, 73.88 W
2024/01/07 19:34:38.760, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:38.764, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:39.569, Tesla T4, 0, 100 %, 287 MiB, 73.12 W
2024/01/07 19:34:39.574, Tesla T4, 1, 97 %, 285 MiB, 69.11 W
2024/01/07 19:34:39.582, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 19:34:39.586, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:40.396, Tesla T4, 0, 100 %, 287 MiB, 75.47 W
2024/01/07 19:34:40.401, Tesla T4, 1, 99 %, 285 MiB, 68.00 W
2024/01/07 19:34:40.413, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:40.417, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:41.226, Tesla T4, 0, 100 %, 287 MiB, 61.83 W
2024/01/07 19:34:41.231, Tesla T4, 1, 97 %, 285 MiB, 73.74 W
2024/01/07 19:34:41.242, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:41.246, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:42.055, Tesla T4, 0, 100 %, 287 MiB, 72.83 W
2024/01/07 19:34:42.060, Tesla T4, 1, 96 %, 285 MiB, 72.73 W
2024/01/07 19:34:42.066, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:42.070, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:42.880, Tesla T4, 0, 100 %, 287 MiB, 74.51 W
2024/01/07 19:34:42.887, Tesla T4, 1, 98 %, 285 MiB, 60.59 W
2024/01/07 19:34:42.892, Tesla T4, 2, 0 %, 9 MiB, 34.85 W
2024/01/07 19:34:42.896, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:43.705, Tesla T4, 0, 100 %, 287 MiB, 65.74 W
2024/01/07 19:34:43.716, Tesla T4, 1, 99 %, 285 MiB, 67.81 W
2024/01/07 19:34:43.721, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:43.725, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:44.533, Tesla T4, 0, 100 %, 287 MiB, 66.42 W
2024/01/07 19:34:44.538, Tesla T4, 1, 98 %, 285 MiB, 73.88 W
2024/01/07 19:34:44.544, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:44.549, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:45.358, Tesla T4, 0, 100 %, 287 MiB, 72.73 W
2024/01/07 19:34:45.363, Tesla T4, 1, 99 %, 285 MiB, 72.25 W
2024/01/07 19:34:45.374, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:45.381, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
