timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:37.293, Tesla T4, 0, 79 %, 175 MiB, 76.91 W
2024/01/07 18:56:37.298, Tesla T4, 1, 90 %, 173 MiB, 73.21 W
2024/01/07 18:56:37.303, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 18:56:37.308, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:38.111, Tesla T4, 0, 84 %, 175 MiB, 48.13 W
2024/01/07 18:56:38.122, Tesla T4, 1, 92 %, 173 MiB, 68.58 W
2024/01/07 18:56:38.131, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:38.135, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:38.944, Tesla T4, 0, 79 %, 175 MiB, 65.36 W
2024/01/07 18:56:38.955, Tesla T4, 1, 91 %, 173 MiB, 67.13 W
2024/01/07 18:56:38.962, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:38.966, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:39.769, Tesla T4, 0, 80 %, 175 MiB, 76.05 W
2024/01/07 18:56:39.774, Tesla T4, 1, 91 %, 173 MiB, 73.40 W
2024/01/07 18:56:39.779, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:39.783, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:40.589, Tesla T4, 0, 84 %, 175 MiB, 56.05 W
2024/01/07 18:56:40.598, Tesla T4, 1, 91 %, 173 MiB, 71.91 W
2024/01/07 18:56:40.603, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:40.607, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:41.410, Tesla T4, 0, 81 %, 175 MiB, 65.64 W
2024/01/07 18:56:41.415, Tesla T4, 1, 91 %, 173 MiB, 67.42 W
2024/01/07 18:56:41.420, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:41.424, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:42.228, Tesla T4, 0, 79 %, 175 MiB, 79.36 W
2024/01/07 18:56:42.240, Tesla T4, 1, 90 %, 173 MiB, 72.53 W
2024/01/07 18:56:42.245, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:56:42.249, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:43.054, Tesla T4, 0, 83 %, 175 MiB, 79.65 W
2024/01/07 18:56:43.059, Tesla T4, 1, 91 %, 173 MiB, 74.65 W
2024/01/07 18:56:43.064, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 18:56:43.068, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:43.872, Tesla T4, 0, 81 %, 175 MiB, 53.38 W
2024/01/07 18:56:43.882, Tesla T4, 1, 93 %, 173 MiB, 64.47 W
2024/01/07 18:56:43.888, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:43.892, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:44.698, Tesla T4, 0, 80 %, 175 MiB, 57.18 W
2024/01/07 18:56:44.704, Tesla T4, 1, 91 %, 173 MiB, 62.83 W
2024/01/07 18:56:44.713, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:44.717, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:45.520, Tesla T4, 0, 80 %, 175 MiB, 72.15 W
2024/01/07 18:56:45.525, Tesla T4, 1, 90 %, 173 MiB, 70.27 W
2024/01/07 18:56:45.530, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:45.534, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:46.338, Tesla T4, 0, 80 %, 175 MiB, 76.24 W
2024/01/07 18:56:46.342, Tesla T4, 1, 91 %, 173 MiB, 72.44 W
2024/01/07 18:56:46.354, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:46.358, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:47.162, Tesla T4, 0, 82 %, 175 MiB, 72.97 W
2024/01/07 18:56:47.167, Tesla T4, 1, 93 %, 173 MiB, 73.59 W
2024/01/07 18:56:47.172, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:47.176, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:47.981, Tesla T4, 0, 81 %, 175 MiB, 64.87 W
2024/01/07 18:56:48.006, Tesla T4, 1, 92 %, 173 MiB, 63.80 W
2024/01/07 18:56:48.014, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:48.018, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:48.823, Tesla T4, 0, 80 %, 175 MiB, 74.61 W
2024/01/07 18:56:48.828, Tesla T4, 1, 92 %, 173 MiB, 72.53 W
2024/01/07 18:56:48.833, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:48.837, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:49.645, Tesla T4, 0, 80 %, 175 MiB, 78.11 W
2024/01/07 18:56:49.654, Tesla T4, 1, 92 %, 173 MiB, 72.63 W
2024/01/07 18:56:49.659, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:49.663, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:50.467, Tesla T4, 0, 81 %, 175 MiB, 74.37 W
2024/01/07 18:56:50.472, Tesla T4, 1, 92 %, 173 MiB, 74.80 W
2024/01/07 18:56:50.484, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:50.488, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:51.291, Tesla T4, 0, 84 %, 175 MiB, 64.43 W
2024/01/07 18:56:51.297, Tesla T4, 1, 91 %, 173 MiB, 71.52 W
2024/01/07 18:56:51.302, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:51.306, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:52.109, Tesla T4, 0, 80 %, 175 MiB, 45.42 W
2024/01/07 18:56:52.114, Tesla T4, 1, 93 %, 173 MiB, 52.26 W
2024/01/07 18:56:52.125, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:52.129, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:52.932, Tesla T4, 0, 79 %, 175 MiB, 65.16 W
2024/01/07 18:56:52.937, Tesla T4, 1, 92 %, 173 MiB, 68.39 W
2024/01/07 18:56:52.942, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:52.946, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:53.752, Tesla T4, 0, 80 %, 175 MiB, 72.83 W
2024/01/07 18:56:53.762, Tesla T4, 1, 92 %, 173 MiB, 71.76 W
2024/01/07 18:56:53.768, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:53.773, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:54.577, Tesla T4, 0, 80 %, 175 MiB, 77.63 W
2024/01/07 18:56:54.582, Tesla T4, 1, 92 %, 173 MiB, 75.95 W
2024/01/07 18:56:54.587, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:54.591, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:55.394, Tesla T4, 0, 83 %, 175 MiB, 76.82 W
2024/01/07 18:56:55.404, Tesla T4, 1, 91 %, 173 MiB, 71.81 W
2024/01/07 18:56:55.411, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:55.415, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:56.221, Tesla T4, 0, 81 %, 175 MiB, 57.28 W
2024/01/07 18:56:56.233, Tesla T4, 1, 94 %, 173 MiB, 59.59 W
2024/01/07 18:56:56.240, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:56.244, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:57.048, Tesla T4, 0, 84 %, 175 MiB, 51.64 W
2024/01/07 18:56:57.053, Tesla T4, 1, 92 %, 173 MiB, 63.22 W
2024/01/07 18:56:57.060, Tesla T4, 2, 0 %, 9 MiB, 35.26 W
2024/01/07 18:56:57.065, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:57.868, Tesla T4, 0, 80 %, 175 MiB, 60.71 W
2024/01/07 18:56:57.874, Tesla T4, 1, 91 %, 173 MiB, 69.31 W
2024/01/07 18:56:57.882, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:57.886, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:58.690, Tesla T4, 0, 81 %, 175 MiB, 71.87 W
2024/01/07 18:56:58.695, Tesla T4, 1, 92 %, 173 MiB, 71.57 W
2024/01/07 18:56:58.700, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:58.704, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
