timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:31.312, Tesla T4, 0, 47 %, 191 MiB, 57.95 W
2024/01/07 21:39:31.317, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:31.321, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:31.325, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:32.131, Tesla T4, 0, 47 %, 191 MiB, 52.16 W
2024/01/07 21:39:32.136, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:32.140, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:39:32.146, Tesla T4, 3, 0 %, 10 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:32.956, Tesla T4, 0, 46 %, 191 MiB, 63.08 W
2024/01/07 21:39:32.960, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:32.964, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:32.970, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:33.777, Tesla T4, 0, 46 %, 191 MiB, 55.54 W
2024/01/07 21:39:33.781, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:33.785, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:33.791, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:34.597, Tesla T4, 0, 47 %, 191 MiB, 62.22 W
2024/01/07 21:39:34.602, Tesla T4, 1, 0 %, 9 MiB, 36.43 W
2024/01/07 21:39:34.606, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:34.610, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:35.414, Tesla T4, 0, 47 %, 191 MiB, 66.32 W
2024/01/07 21:39:35.419, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:35.423, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:35.427, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:36.232, Tesla T4, 0, 50 %, 191 MiB, 59.78 W
2024/01/07 21:39:36.236, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:36.240, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 21:39:36.245, Tesla T4, 3, 0 %, 10 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:37.047, Tesla T4, 0, 48 %, 191 MiB, 61.29 W
2024/01/07 21:39:37.051, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 21:39:37.055, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:37.061, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:37.862, Tesla T4, 0, 49 %, 191 MiB, 61.00 W
2024/01/07 21:39:37.868, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:37.872, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:37.876, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:38.680, Tesla T4, 0, 48 %, 191 MiB, 61.10 W
2024/01/07 21:39:38.685, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 21:39:38.691, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 21:39:38.695, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:39.495, Tesla T4, 0, 48 %, 191 MiB, 66.22 W
2024/01/07 21:39:39.500, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 21:39:39.504, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 21:39:39.508, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 21:39:40.310, Tesla T4, 0, 46 %, 191 MiB, 65.07 W
2024/01/07 21:39:40.314, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
