timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:36.548, Tesla T4, 0, 100 %, 191 MiB, 71.19 W
2024/01/07 22:09:36.559, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 22:09:36.563, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 22:09:36.568, Tesla T4, 3, 0 %, 10 MiB, 36.21 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:37.370, Tesla T4, 0, 100 %, 191 MiB, 70.80 W
2024/01/07 22:09:37.374, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 22:09:37.379, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:37.383, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:38.198, Tesla T4, 0, 100 %, 191 MiB, 71.62 W
2024/01/07 22:09:38.202, Tesla T4, 1, 0 %, 9 MiB, 36.41 W
2024/01/07 22:09:38.206, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 22:09:38.210, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:39.009, Tesla T4, 0, 100 %, 191 MiB, 69.74 W
2024/01/07 22:09:39.014, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 22:09:39.018, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 22:09:39.022, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:39.820, Tesla T4, 0, 100 %, 191 MiB, 70.03 W
2024/01/07 22:09:39.825, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 22:09:39.829, Tesla T4, 2, 0 %, 10 MiB, 35.26 W
2024/01/07 22:09:39.834, Tesla T4, 3, 0 %, 10 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:40.632, Tesla T4, 0, 100 %, 191 MiB, 66.99 W
2024/01/07 22:09:40.636, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 22:09:40.640, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 22:09:40.644, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:41.443, Tesla T4, 0, 100 %, 191 MiB, 65.74 W
2024/01/07 22:09:41.451, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 22:09:41.455, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 22:09:41.459, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:42.256, Tesla T4, 0, 100 %, 191 MiB, 53.38 W
2024/01/07 22:09:42.260, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 22:09:42.264, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:42.268, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:43.067, Tesla T4, 0, 100 %, 191 MiB, 71.24 W
2024/01/07 22:09:43.071, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
2024/01/07 22:09:43.075, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:43.079, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:43.877, Tesla T4, 0, 100 %, 191 MiB, 70.32 W
2024/01/07 22:09:43.881, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 22:09:43.885, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:43.889, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:44.686, Tesla T4, 0, 100 %, 191 MiB, 69.65 W
2024/01/07 22:09:44.690, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 22:09:44.695, Tesla T4, 2, 0 %, 10 MiB, 35.07 W
2024/01/07 22:09:44.699, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:45.498, Tesla T4, 0, 100 %, 191 MiB, 67.67 W
2024/01/07 22:09:45.503, Tesla T4, 1, 0 %, 9 MiB, 36.60 W
2024/01/07 22:09:45.507, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:45.511, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:46.310, Tesla T4, 0, 100 %, 191 MiB, 51.93 W
2024/01/07 22:09:46.318, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 22:09:46.322, Tesla T4, 2, 0 %, 10 MiB, 34.87 W
2024/01/07 22:09:46.326, Tesla T4, 3, 0 %, 10 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:47.123, Tesla T4, 0, 100 %, 191 MiB, 71.53 W
2024/01/07 22:09:47.127, Tesla T4, 1, 0 %, 9 MiB, 36.50 W
2024/01/07 22:09:47.131, Tesla T4, 2, 0 %, 10 MiB, 34.97 W
2024/01/07 22:09:47.137, Tesla T4, 3, 0 %, 10 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 22:09:47.936, Tesla T4, 0, 100 %, 191 MiB, 70.32 W
2024/01/07 22:09:47.943, Tesla T4, 1, 0 %, 9 MiB, 36.52 W
