timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:08.717, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:08.717, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:08.719, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:09.532, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:09.532, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:09.533, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:10.345, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:10.345, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:10.346, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:11.158, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:11.158, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:11.159, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:11.979, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:11.979, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:11.980, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:12.792, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:12.792, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:12.793, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2024/01/07 22:20:13.605, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155415, ./DemoServer, 158 MiB
2024/01/07 22:20:13.605, Tesla T4, GPU-078d5af1-c65d-08e7-dcd5-c421fd3008f2, 155461, ./RayTracer, 22 MiB
2024/01/07 22:20:13.607, Tesla T4, GPU-3ae88737-b26f-173b-b268-118cf43a0c6f, 155415, ./DemoServer, 145 MiB
timestamp, gpu_name, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
