timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:18.973, Tesla T4, 0, 0 %, 154 MiB, 39.88 W
2024/01/08 11:00:18.977, Tesla T4, 1, 0 %, 118 MiB, 36.60 W
2024/01/08 11:00:18.983, Tesla T4, 2, 0 %, 9 MiB, 35.75 W
2024/01/08 11:00:18.987, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:19.786, Tesla T4, 0, 55 %, 191 MiB, 41.89 W
2024/01/08 11:00:19.790, Tesla T4, 1, 100 %, 155 MiB, 70.99 W
2024/01/08 11:00:19.795, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:19.799, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:20.599, Tesla T4, 0, 54 %, 191 MiB, 62.64 W
2024/01/08 11:00:20.609, Tesla T4, 1, 98 %, 155 MiB, 69.79 W
2024/01/08 11:00:20.613, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:20.620, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:21.421, Tesla T4, 0, 56 %, 191 MiB, 71.09 W
2024/01/08 11:00:21.425, Tesla T4, 1, 98 %, 155 MiB, 70.99 W
2024/01/08 11:00:21.429, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:21.433, Tesla T4, 3, 0 %, 9 MiB, 37.26 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:22.233, Tesla T4, 0, 56 %, 191 MiB, 71.19 W
2024/01/08 11:00:22.242, Tesla T4, 1, 98 %, 155 MiB, 71.28 W
2024/01/08 11:00:22.246, Tesla T4, 2, 0 %, 9 MiB, 35.63 W
2024/01/08 11:00:22.251, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
